color_hex,total_blob_count,total_perimeter_um,total_area_um2
#000080,525,1419.666597,56.786664
#008000,772,2111.146105,84.445844
#008080,14,1.448707,0.057948
#00ff80,784,1657.932327,66.317293
#00ffff,1850,4214.643683,168.585747
#20b2aa,682,1967.332714,78.693309
#32cd32,288,662.129907,26.485196
#4363d8,319,727.679788,29.107192
#5ac1d9,481,1262.972462,50.518898
#800000,1121,3159.220780,126.368831
#808000,224,402.140671,16.085627
#8080ff,495,1255.004225,50.200169
#80ff80,16,2.460543,0.098422
#822072,670,1486.763527,59.470541
#8a2be2,861,1704.472526,68.178901
#8b99c5,269,582.686617,23.307465
#f58231,457,659.731134,26.389245
#ff00ff,3323,10949.188619,437.967545
#ff1493,128,439.352418,17.574097
#ff4500,454,947.537216,37.901489
#ff8000,685,1618.990267,64.759611
#ff8080,33,5.097735,0.203909
#ffff00,604,1517.482987,60.699319
