color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#000080,248.348602,0.040000,9.933944
#008000,357.704491,0.040000,14.308180
#008080,0.018739,0.040000,0.000750
#00ff80,245.975461,0.040000,9.839018
#00ffff,668.034503,0.040000,26.721380
#20b2aa,403.736466,0.040000,16.149459
#32cd32,90.516657,0.040000,3.620666
#4363d8,107.196907,0.040000,4.287876
#5ac1d9,227.666270,0.040000,9.106651
#800000,574.503569,0.040000,22.980143
#808000,49.806514,0.040000,1.992261
#8080ff,194.270970,0.040000,7.770839
#80ff80,0.036139,0.040000,0.001446
#822072,193.744943,0.040000,7.749798
#8a2be2,205.696312,0.040000,8.227852
#8b99c5,102.616597,0.040000,4.104664
#f58231,68.817073,0.040000,2.752683
#ff00ff,2280.892326,0.040000,91.235693
#ff1493,71.664039,0.040000,2.866562
#ff4500,110.939322,0.040000,4.437573
#ff8000,243.779001,0.040000,9.751160
#ff8080,0.074955,0.040000,0.002998
#ffff00,277.911808,0.040000,11.116472
