color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#ff00ff,91.235693,437.967545,4.800397
#00ffff,26.721380,168.585747,6.309021
#800000,22.980143,126.368831,5.499045
#20b2aa,16.149459,78.693309,4.872814
#008000,14.308180,84.445844,5.901928
#ffff00,11.116472,60.699319,5.460304
#000080,9.933944,56.786664,5.716427
#00ff80,9.839018,66.317293,6.740235
#ff8000,9.751160,64.759611,6.641221
#5ac1d9,9.106651,50.518898,5.547473
#8a2be2,8.227852,68.178901,8.286355
#8080ff,7.770839,50.200169,6.460071
#822072,7.749798,59.470541,7.673818
#ff4500,4.437573,37.901489,8.541040
#4363d8,4.287876,29.107192,6.788254
#8b99c5,4.104664,23.307465,5.678288
#32cd32,3.620666,26.485196,7.315007
#ff1493,2.866562,17.574097,6.130723
#f58231,2.752683,26.389245,9.586736
#808000,1.992261,16.085627,8.074056
#ff8080,0.002998,0.203909,68.015010
#80ff80,0.001446,0.098422,68.065007
#008080,0.000750,0.057948,77.264000
