color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#365187,34.992498,168.604176,4.818295
#a85e32,23.486706,117.335712,4.995835
#f0ed97,22.031526,123.070904,5.586127
#47964c,21.616940,119.010299,5.505418
#75a832,19.599690,120.130871,6.129223
#ce24d4,19.531746,100.268645,5.133624
#8a4334,16.716047,99.274961,5.938902
#374a29,15.056974,98.765289,6.559438
#a178ad,13.452002,75.365935,5.602581
#03fc5a,13.250417,80.298607,6.060082
#ed755c,12.981251,73.863647,5.690025
#fcbf79,11.288237,63.808232,5.652630
#c9fa5f,10.167435,70.984948,6.981598
#85150b,6.612731,34.576495,5.228777
#b452ff,5.827155,40.890702,7.017267
#b1d415,4.870170,28.852825,5.924398
#6c1273,4.324736,29.308522,6.776951
#15d445,3.668248,17.813531,4.856141
#d41515,3.358158,21.878548,6.515044
#86a863,0.818971,8.484681,10.360173
#f5b942,0.484351,5.904396,12.190325
