slice_file,color_hex,blob_count,perimeter_px,perimeter_um,slice_area_um2,slice_thickness_um
z_0007_482.000000.png,#374a29,2,80.426407,3.133496,0.125340,0.040000
z_0007_482.000000.png,#47964c,2,164.267027,6.400014,0.256001,0.040000
z_0007_482.000000.png,#6c1273,1,52.041631,2.027596,0.081104,0.040000
z_0007_482.000000.png,#75a832,2,163.539105,6.371653,0.254866,0.040000
z_0007_482.000000.png,#8a4334,3,301.563492,11.749227,0.469969,0.040000
z_0007_482.000000.png,#a178ad,8,569.529004,22.189442,0.887578,0.040000
z_0007_482.000000.png,#b1d415,1,228.752309,8.912428,0.356497,0.040000
z_0007_482.000000.png,#c9fa5f,2,92.183766,3.591575,0.143663,0.040000
z_0007_482.000000.png,#ed755c,2,245.865007,9.579156,0.383166,0.040000
z_0007_482.000000.png,#f0ed97,1,36.384776,1.417589,0.056704,0.040000
z_0008_483.000000.png,#03fc5a,3,273.137085,10.641705,0.425668,0.040000
z_0008_483.000000.png,#365187,7,839.134126,32.693537,1.307741,0.040000
z_0008_483.000000.png,#374a29,2,83.840620,3.266518,0.130661,0.040000
z_0008_483.000000.png,#47964c,2,182.752309,7.120220,0.284809,0.040000
z_0008_483.000000.png,#6c1273,1,64.526912,2.514036,0.100561,0.040000
z_0008_483.000000.png,#75a832,2,180.610173,7.036760,0.281470,0.040000
z_0008_483.000000.png,#8a4334,3,320.149278,12.473349,0.498934,0.040000
z_0008_483.000000.png,#a178ad,7,657.168614,25.603972,1.024159,0.040000
z_0008_483.000000.png,#a85e32,1,47.112698,1.835560,0.073422,0.040000
z_0008_483.000000.png,#b1d415,1,229.823376,8.954158,0.358166,0.040000
z_0008_483.000000.png,#c9fa5f,2,94.183766,3.669497,0.146780,0.040000
z_0008_483.000000.png,#ed755c,2,182.409163,7.106851,0.284274,0.040000
z_0008_483.000000.png,#f0ed97,1,38.384776,1.495511,0.059820,0.040000
z_0009_484.000000.png,#03fc5a,3,292.450793,11.394187,0.455767,0.040000
z_0009_484.000000.png,#365187,6,804.991991,31.363324,1.254533,0.040000
z_0009_484.000000.png,#374a29,2,83.355339,3.247611,0.129904,0.040000
z_0009_484.000000.png,#47964c,2,190.752309,7.431908,0.297276,0.040000
z_0009_484.000000.png,#6c1273,1,76.183766,2.968199,0.118728,0.040000
z_0009_484.000000.png,#75a832,2,204.509668,7.967909,0.318716,0.040000
z_0009_484.000000.png,#8a4334,4,364.333044,14.194794,0.567792,0.040000
z_0009_484.000000.png,#a178ad,6,678.724963,26.443830,1.057753,0.040000
z_0009_484.000000.png,#a85e32,1,63.355339,2.468390,0.098736,0.040000
z_0009_484.000000.png,#b1d415,2,202.610173,7.893903,0.315756,0.040000
z_0009_484.000000.png,#c9fa5f,2,97.597980,3.802519,0.152101,0.040000
z_0009_484.000000.png,#ed755c,2,201.379726,7.845963,0.313839,0.040000
z_0009_484.000000.png,#f0ed97,1,38.970563,1.518334,0.060733,0.040000
