color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#85150b,47.197220,242.416137,5.136238
#f5333d,46.539518,225.358391,4.842302
#03fc5a,42.027101,228.657913,5.440725
#c8ddc4,32.444932,192.028759,5.918606
#362312,26.692947,137.386820,5.146933
#87ab52,16.963657,113.744943,6.705214
#962c65,14.918111,76.307529,5.115093
#963521,13.514906,66.191375,4.897657
#412c96,12.338607,76.271735,6.181552
#8f6a4b,11.430987,61.262630,5.359347
#b5c5eb,10.686335,76.403414,7.149637
#a7e8c4,9.074927,64.256642,7.080679
#39a389,7.489627,49.115097,6.557749
#7115ca,5.227802,41.520771,7.942300
#c3f4dd,4.776239,36.132433,7.565039
#ba3f46,4.325647,38.587415,8.920611
#d4f051,3.549300,25.932395,7.306341
#291cc3,2.990083,30.477857,10.192980
#b5eda8,1.290268,11.315121,8.769590
