color_hex,total_blob_count,total_perimeter_um,total_area_um2
#03fc5a,2071,5716.447823,228.657913
#291cc3,530,761.946424,30.477857
#362312,1196,3434.670510,137.386820
#39a389,571,1227.877432,49.115097
#412c96,762,1906.793376,76.271735
#7115ca,545,1038.019277,41.520771
#85150b,2108,6060.403437,242.416137
#87ab52,1239,2843.623566,113.744943
#8f6a4b,546,1531.565749,61.262630
#962c65,672,1907.688237,76.307529
#963521,543,1654.784375,66.191375
#a7e8c4,733,1606.416061,64.256642
#b5c5eb,1037,1910.085356,76.403414
#b5eda8,177,282.878026,11.315121
#ba3f46,602,964.685379,38.587415
#c3f4dd,503,903.310816,36.132433
#c8ddc4,1813,4800.718969,192.028759
#d4f051,290,648.309872,25.932395
#f5333d,1898,5633.959784,225.358391
