color_hex,total_blob_count,total_perimeter_um,total_area_um2
#030b9e,472,1470.451087,58.818043
#157d0b,247,557.999988,22.320000
#377e94,335,970.354784,38.814191
#4a7840,200,381.715314,15.268613
#74b59b,402,904.307584,36.172303
#75aaff,218,559.266992,22.370680
#8f82c4,673,2110.897643,84.435906
#96d4ba,1069,2410.231642,96.409266
#9e033c,415,886.098771,35.443951
#a2aee8,767,1883.246839,75.329874
#a8329d,1653,4040.076067,161.603043
#a9ebc4,326,855.357364,34.214295
#aeeff2,665,1825.576602,73.023064
#b36994,204,462.563237,18.502529
#b54136,620,1565.023958,62.600958
#b5748e,500,1159.782779,46.391311
#b57a36,799,1596.531772,63.861271
#cacc5e,570,966.837445,38.673498
#cc1f00,607,1395.538477,55.821539
#f06e8a,381,964.462525,38.578501
