color_hex,total_blob_count,total_perimeter_um,total_area_um2
#03fc5a,2664,7289.901424,328.045564
#291cc3,805,1527.067987,68.718059
#362312,1498,4906.576714,220.795952
#39a389,918,2327.312471,104.729061
#412c96,900,2417.476930,108.786462
#7115ca,651,1355.194068,60.983733
#85150b,2429,6879.979789,309.599091
#87ab52,1368,2943.935185,132.477083
#8f6a4b,668,1639.942670,73.797420
#962c65,722,1945.951598,87.567822
#963521,638,1713.110745,77.089984
#a7e8c4,970,2591.055478,116.597497
#b5c5eb,1461,3022.306558,136.003795
#b5eda8,227,375.939768,16.917290
#ba3f46,776,1388.257679,62.471596
#c3f4dd,696,1253.357050,56.401067
#c8ddc4,2590,7763.475215,349.356385
#d4f051,373,852.471005,38.361195
#f5333d,2282,6591.263953,296.606878
