color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#03fc5a,1291.658824,0.045000,58.124647
#291cc3,197.895363,0.045000,8.905291
#362312,1142.490519,0.045000,51.412073
#39a389,378.464637,0.045000,17.030909
#412c96,454.229066,0.045000,20.440308
#7115ca,193.666298,0.045000,8.714983
#85150b,1313.182837,0.045000,59.093228
#87ab52,405.011211,0.045000,18.225504
#8f6a4b,253.509758,0.045000,11.407939
#962c65,342.934256,0.045000,15.432042
#963521,316.838616,0.045000,14.257738
#a7e8c4,458.800692,0.045000,20.646031
#b5c5eb,462.041938,0.045000,20.791887
#b5eda8,44.704775,0.045000,2.011715
#ba3f46,167.611765,0.045000,7.542529
#c3f4dd,166.584083,0.045000,7.496284
#c8ddc4,1440.062284,0.045000,64.802803
#d4f051,127.126090,0.045000,5.720674
#f5333d,1290.039446,0.045000,58.051775
