color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#ff00ff,106.753203,542.830042,5.084906
#800000,58.200312,250.120983,4.297588
#00ffff,37.318516,228.340429,6.118690
#32cd32,33.728281,123.996537,3.676337
#5ac1d9,24.550938,116.552165,4.747361
#ffff00,17.799922,92.722020,5.209125
#00ff80,17.477422,106.955831,6.119657
#20b2aa,16.873203,86.602880,5.132569
#008000,15.568672,94.193753,6.050211
#822072,13.230937,92.182461,6.967191
#ff8000,12.843359,83.032250,6.464995
#000080,11.947969,70.185723,5.874281
#8a2be2,10.627891,85.906526,8.083121
#4363d8,9.448438,56.224496,5.950666
#8080ff,8.240859,53.095495,6.442956
#ff1493,7.424062,44.419869,5.983230
#00ced1,6.569063,31.385795,4.777819
#808000,6.310547,31.412058,4.977708
#8b99c5,5.725703,34.554248,6.034935
#ff4500,5.013672,42.707372,8.518182
#f58231,4.118984,38.021512,9.230799
#ff8080,0.004609,0.270956,58.788457
#80ff80,0.003906,0.213906,54.763441
#008080,0.000859,0.058336,67.911525
