color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#000080,265.510417,0.045000,11.947969
#008000,345.970486,0.045000,15.568672
#008080,0.019097,0.045000,0.000859
#00ced1,145.979167,0.045000,6.569063
#00ff80,388.387153,0.045000,17.477422
#00ffff,829.300347,0.045000,37.318516
#20b2aa,374.960069,0.045000,16.873203
#32cd32,749.517361,0.045000,33.728281
#4363d8,209.965278,0.045000,9.448438
#5ac1d9,545.576389,0.045000,24.550938
#800000,1293.340278,0.045000,58.200312
#808000,140.234375,0.045000,6.310547
#8080ff,183.130208,0.045000,8.240859
#80ff80,0.086806,0.045000,0.003906
#822072,294.020833,0.045000,13.230937
#8a2be2,236.175347,0.045000,10.627891
#8b99c5,127.237847,0.045000,5.725703
#f58231,91.532986,0.045000,4.118984
#ff00ff,2372.293403,0.045000,106.753203
#ff1493,164.979167,0.045000,7.424062
#ff4500,111.414931,0.045000,5.013672
#ff8000,285.407986,0.045000,12.843359
#ff8080,0.102431,0.045000,0.004609
#ffff00,395.553819,0.045000,17.799922
