color_hex,total_blob_count,total_perimeter_um,total_area_um2
#000080,611,1559.682734,70.185723
#008000,791,2093.194515,94.193753
#008080,11,1.296362,0.058336
#00ced1,183,697.462103,31.385795
#00ff80,983,2376.796241,106.955831
#00ffff,2143,5074.231752,228.340429
#20b2aa,710,1924.508440,86.602880
#32cd32,661,2755.478600,123.996537
#4363d8,455,1249.433248,56.224496
#5ac1d9,777,2590.048107,116.552165
#800000,1477,5558.244077,250.120983
#808000,277,698.045734,31.412058
#8080ff,458,1179.899891,53.095495
#80ff80,17,4.753469,0.213906
#822072,796,2048.499130,92.182461
#8a2be2,958,1909.033915,85.906526
#8b99c5,358,767.872180,34.554248
#f58231,531,844.922483,38.021512
#ff00ff,3789,12062.889822,542.830042
#ff1493,295,987.108209,44.419869
#ff4500,458,949.052702,42.707372
#ff8000,760,1845.161107,83.032250
#ff8080,32,6.021236,0.270956
#ffff00,724,2060.489339,92.722020
