color_hex,total_blob_count,total_perimeter_um,total_area_um2
#0ca76a,761,2971209.686944,118848.387478
#0f0a80,381,438557.723766,17542.308951
#13ca98,298,154153.435733,6166.137429
#1ab153,531,1042648.501638,41705.940066
#1fa2b1,1817,5196272.865984,207850.914639
#3afc69,636,2539259.190544,101570.367622
#53281f,351,154167.108326,6166.684333
#588255,449,632271.695439,25290.867818
#5ba53b,695,1658904.566133,66356.182645
#5f41ec,171,428.553480,17.142139
#64735a,400,848194.092125,33927.763685
#665346,137,289697.146690,11587.885868
#6ce2d1,130,271635.211963,10865.408479
#70ad51,394,898791.906874,35951.676275
#74bd9a,879,2419211.273395,96768.450936
#82a6de,231,769237.966484,30769.518659
#946c15,294,152576.483520,6103.059341
#983986,211,453120.721148,18124.828846
#a17b6e,510,615814.164160,24632.566566
#a8d11c,671,1490926.305407,59637.052216
#b6384c,1236,1951254.327324,78050.173093
#b6f82c,284,153044.779531,6121.791181
#d6c90f,755,2702996.777111,108119.871084
#e89f84,333,1975688.349772,79027.533991
#f05486,382,755408.945962,30216.357838
#fea3e5,206,581919.056139,23276.762246
