color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#158a8a,105.673706,0.040000,4.226948
#15d445,226.702558,0.040000,9.068102
#374a29,602.179506,0.040000,24.087180
#45818e,359.444527,0.040000,14.377781
#47964c,506.583284,0.040000,20.263331
#4cd4bb,65.698394,0.040000,2.627936
#630024,167.426234,0.040000,6.697049
#85b066,39.738400,0.040000,1.589536
#93a0c7,736.328227,0.040000,29.453129
#a85e32,956.472189,0.040000,38.258888
#afeda4,144.820494,0.040000,5.792820
#b1d415,568.299673,0.040000,22.731987
#b6b0a8,137.927275,0.040000,5.517091
#c9fa5f,236.802796,0.040000,9.472112
#ce24d4,1101.470702,0.040000,44.058828
#d41515,213.588043,0.040000,8.543522
#e8d9ff,174.767847,0.040000,6.990714
#ed755c,749.536437,0.040000,29.981457
#f0ed97,828.286437,0.040000,33.131457
#fcba03,22.694081,0.040000,0.907763
#fcbf79,258.324360,0.040000,10.332974
