slice_file,color_hex,area_px,cross_section_area_um2,slice_volume_um3,slice_thickness_um
z_0016_464.173745.png,#7d6608,1017,0.763370,0.034352,0.045000
z_0017_465.185328.png,#008000,2892,2.170764,0.097684,0.045000
z_0017_465.185328.png,#1f618d,1484,1.113905,0.050126,0.045000
z_0017_465.185328.png,#5d6d7e,268,0.201163,0.009052,0.045000
z_0017_465.185328.png,#5dade2,550,0.412835,0.018578,0.045000
z_0017_465.185328.png,#7d6608,980,0.735598,0.033102,0.045000
z_0018_466.196911.png,#008000,3271,2.455245,0.110486,0.045000
z_0018_466.196911.png,#1f618d,1507,1.131169,0.050903,0.045000
z_0018_466.196911.png,#5d6d7e,480,0.360293,0.016213,0.045000
z_0018_466.196911.png,#5dade2,543,0.407581,0.018341,0.045000
z_0018_466.196911.png,#7d6608,928,0.696566,0.031345,0.045000
z_0019_467.208494.png,#008000,3567,2.677425,0.120484,0.045000
z_0019_467.208494.png,#1f618d,1597,1.198724,0.053943,0.045000
z_0019_467.208494.png,#5d6d7e,684,0.513417,0.023104,0.045000
z_0019_467.208494.png,#5dade2,555,0.416588,0.018746,0.045000
z_0019_467.208494.png,#7d6608,946,0.710077,0.031953,0.045000
z_0020_468.220077.png,#008000,3484,2.615125,0.117681,0.045000
z_0020_468.220077.png,#1f618d,1630,1.223494,0.055057,0.045000
z_0020_468.220077.png,#5d6d7e,927,0.695815,0.031312,0.045000
z_0020_468.220077.png,#5dade2,594,0.445862,0.020064,0.045000
z_0020_468.220077.png,#7d6608,985,0.739351,0.033271,0.045000
z_0021_469.231660.png,#008000,3213,2.411710,0.108527,0.045000
z_0021_469.231660.png,#1f618d,1678,1.259523,0.056679,0.045000
z_0021_469.231660.png,#5d6d7e,1337,1.003565,0.045160,0.045000
z_0021_469.231660.png,#5dade2,622,0.466879,0.021010,0.045000
z_0021_469.231660.png,#7d6608,1023,0.767874,0.034554,0.045000
z_0021_469.231660.png,#ff8000,70,0.052543,0.002364,0.045000
z_0022_470.243243.png,#008000,2968,2.227810,0.100251,0.045000
z_0022_470.243243.png,#1f618d,1612,1.209983,0.054449,0.045000
z_0022_470.243243.png,#5d6d7e,1714,1.286545,0.057895,0.045000
z_0022_470.243243.png,#5dade2,667,0.500657,0.022530,0.045000
z_0022_470.243243.png,#7d6608,1082,0.812160,0.036547,0.045000
z_0022_470.243243.png,#ff8000,788,0.591481,0.026617,0.045000
z_0023_471.254826.png,#008000,3045,2.285607,0.102852,0.045000
z_0023_471.254826.png,#1f618d,1841,1.381873,0.062184,0.045000
z_0023_471.254826.png,#5d6d7e,2084,1.564271,0.070392,0.045000
z_0023_471.254826.png,#5dade2,868,0.651529,0.029319,0.045000
z_0023_471.254826.png,#7d6608,1015,0.761869,0.034284,0.045000
z_0023_471.254826.png,#808000,2,0.001501,0.000068,0.045000
z_0023_471.254826.png,#ff8000,1705,1.279790,0.057591,0.045000
z_0024_472.266409.png,#008000,2752,2.065678,0.092956,0.045000
z_0024_472.266409.png,#1f618d,1787,1.341340,0.060360,0.045000
z_0024_472.266409.png,#5d6d7e,2399,1.800713,0.081032,0.045000
z_0024_472.266409.png,#5dade2,943,0.707825,0.031852,0.045000
z_0024_472.266409.png,#7d6608,990,0.743104,0.033440,0.045000
z_0024_472.266409.png,#808000,2,0.001501,0.000068,0.045000
z_0024_472.266409.png,#ff8000,1778,1.334584,0.060056,0.045000
z_0025_473.277992.png,#008000,2654,1.992119,0.089645,0.045000
z_0025_473.277992.png,#1f618d,1793,1.345843,0.060563,0.045000
z_0025_473.277992.png,#5d6d7e,2709,2.033402,0.091503,0.045000
z_0025_473.277992.png,#5dade2,975,0.731845,0.032933,0.045000
z_0025_473.277992.png,#7d6608,983,0.737850,0.033203,0.045000
z_0025_473.277992.png,#808000,1,0.000751,0.000034,0.045000
z_0025_473.277992.png,#ff8000,1706,1.280540,0.057624,0.045000
z_0026_474.289575.png,#008000,2478,1.860011,0.083701,0.045000
z_0026_474.289575.png,#1f618d,1824,1.369112,0.061610,0.045000
z_0026_474.289575.png,#5d6d7e,2900,2.176769,0.097955,0.045000
