color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#1f618d,39.339272,218.791207,5.561649
#7d6608,18.391210,111.765298,6.077104
#ffff00,13.263457,75.561489,5.696968
#d7bde2,12.941963,73.525894,5.681201
#7e5109,11.580394,64.449696,5.565415
#5d6d7e,11.203134,86.309911,7.704086
#008000,10.763014,75.723813,7.035558
#eb984e,7.982758,56.057022,7.022262
#f9e79f,6.952040,52.530668,7.556152
#5dade2,6.486046,45.933267,7.081860
#aed6f1,3.972261,20.214283,5.088861
#20b2aa,3.507213,27.303320,7.784905
#ff8000,3.494648,24.139923,6.907684
#58d68d,1.895590,15.826811,8.349280
#808000,0.001824,0.150514,82.518640
