color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#008000,239.178082,0.045000,10.763014
#1f618d,874.206042,0.045000,39.339272
#20b2aa,77.938075,0.045000,3.507213
#58d68d,42.124226,0.045000,1.895590
#5d6d7e,248.958529,0.045000,11.203134
#5dade2,144.134359,0.045000,6.486046
#7d6608,408.693564,0.045000,18.391210
#7e5109,257.342090,0.045000,11.580394
#808000,0.040533,0.045000,0.001824
#aed6f1,88.272471,0.045000,3.972261
#d7bde2,287.599174,0.045000,12.941963
#eb984e,177.394633,0.045000,7.982758
#f9e79f,154.489773,0.045000,6.952040
#ff8000,77.658848,0.045000,3.494648
#ffff00,294.743479,0.045000,13.263457
