color_hex,total_blob_count,total_perimeter_um,total_area_um2
#0e6251,310,1488.482272,59.539291
#117a65,779,1932.639427,77.305577
#145a32,581,1392.708266,55.708331
#154360,520,1343.176069,53.727043
#196f3d,651,1507.241174,60.289647
#1b4f72,1071,2990.504829,119.620193
#2e4053,494,1129.320619,45.172825
#2ecc71,626,1286.791326,51.471653
#3b3b98,388,1024.690963,40.987639
#45b39d,584,1426.841853,57.073674
#48c9b0,912,2169.693299,86.787732
#4a235a,1881,4671.744524,186.869781
#512e5f,481,952.517598,38.100704
#52be80,750,1935.803100,77.432124
#5499c7,1120,2700.846380,108.033855
#73c6b6,227,674.013171,26.960527
#7b241c,425,1075.725654,43.029026
#82e0aa,507,1208.349896,48.333996
#85c1e9,904,1990.200921,79.608037
#922b21,923,2260.263350,90.410534
#9a7d0a,1433,3736.412884,149.456515
#a2d9ce,999,209.982448,8.399298
#a3e4d7,2099,822.909211,32.916368
#a9cce3,1899,1163.451148,46.538046
#af601a,339,662.216238,26.488650
#af7ac5,728,1459.680774,58.387231
#b9770e,244,548.268582,21.930743
#bb8fce,35,4.056646,0.162266
#cb4335,205,423.710495,16.948420
#d2b4de,831,1108.508033,44.340321
#d35400,423,1048.865057,41.954602
#d68910,222,524.667638,20.986706
#e59866,705,1418.158878,56.726355
#e74c3c,439,1116.848536,44.673941
#edbb99,884,2273.834613,90.953385
#f1948a,321,713.982337,28.559293
#f58231,480,1475.093678,59.003747
#f7dc6f,333,432.336742,17.293470
#f8c471,516,1146.250998,45.850040
#fad7a0,618,1426.969844,57.078794
