slice_index,original_filename,processed_filename,z_coordinate
1,bandicam 2026-08-03 01-04-07-284.png,z_0001_449.000000.png,449.000000
2,bandicam 2026-08-03 01-04-09-027.png,z_0002_450.011583.png,450.011583
3,bandicam 2026-08-03 01-04-10-346.png,z_0003_451.023166.png,451.023166
4,bandicam 2026-08-03 01-04-12-632.png,z_0004_452.034749.png,452.034749
5,bandicam 2026-08-03 01-04-23-397.png,z_0005_453.046332.png,453.046332
6,bandicam 2026-08-03 01-04-24-687.png,z_0006_454.057915.png,454.057915
7,bandicam 2026-08-03 01-04-26-201.png,z_0007_455.069498.png,455.069498
8,bandicam 2026-08-03 01-04-27-472.png,z_0008_456.081081.png,456.081081
9,bandicam 2026-08-03 01-04-28-824.png,z_0009_457.092664.png,457.092664
10,bandicam 2026-08-03 01-04-30-070.png,z_0010_458.104247.png,458.104247
11,bandicam 2026-08-03 01-04-31-242.png,z_0011_459.115830.png,459.115830
12,bandicam 2026-08-03 01-04-32-361.png,z_0012_460.127413.png,460.127413
13,bandicam 2026-08-03 01-04-33-556.png,z_0013_461.138996.png,461.138996
14,bandicam 2026-08-03 01-04-34-695.png,z_0014_462.150579.png,462.150579
15,bandicam 2026-08-03 01-04-35-791.png,z_0015_463.162162.png,463.162162
16,bandicam 2026-08-03 01-04-36-925.png,z_0016_464.173745.png,464.173745
17,bandicam 2026-08-03 01-04-37-978.png,z_0017_465.185328.png,465.185328
18,bandicam 2026-08-03 01-04-39-062.png,z_0018_466.196911.png,466.196911
19,bandicam 2026-08-03 01-04-40-147.png,z_0019_467.208494.png,467.208494
20,bandicam 2026-08-03 01-04-41-379.png,z_0020_468.220077.png,468.220077
21,bandicam 2026-08-03 01-04-42-500.png,z_0021_469.231660.png,469.231660
22,bandicam 2026-08-03 01-04-43-657.png,z_0022_470.243243.png,470.243243
23,bandicam 2026-08-03 01-04-44-763.png,z_0023_471.254826.png,471.254826
24,bandicam 2026-08-03 01-04-45-926.png,z_0024_472.266409.png,472.266409
25,bandicam 2026-08-03 01-04-46-999.png,z_0025_473.277992.png,473.277992
26,bandicam 2026-08-03 01-04-48-177.png,z_0026_474.289575.png,474.289575
27,bandicam 2026-08-03 01-04-49-290.png,z_0027_475.301158.png,475.301158
28,bandicam 2026-08-03 01-04-50-603.png,z_0028_476.312741.png,476.312741
29,bandicam 2026-08-03 01-04-52-175.png,z_0029_477.324324.png,477.324324
30,bandicam 2026-08-03 01-04-53-570.png,z_0030_478.335907.png,478.335907
31,bandicam 2026-08-03 01-04-55-083.png,z_0031_479.347490.png,479.347490
32,bandicam 2026-08-03 01-04-56-202.png,z_0032_480.359073.png,480.359073
33,bandicam 2026-08-03 01-04-57-260.png,z_0033_481.370656.png,481.370656
34,bandicam 2026-08-03 01-04-58-467.png,z_0034_482.382239.png,482.382239
35,bandicam 2026-08-03 01-04-59-696.png,z_0035_483.393822.png,483.393822
36,bandicam 2026-08-03 01-05-00-802.png,z_0036_484.405405.png,484.405405
37,bandicam 2026-08-03 01-05-01-954.png,z_0037_485.416988.png,485.416988
38,bandicam 2026-08-03 01-05-03-031.png,z_0038_486.428571.png,486.428571
39,bandicam 2026-08-03 01-05-04-201.png,z_0039_487.440154.png,487.440154
40,bandicam 2026-08-03 01-05-05-362.png,z_0040_488.451737.png,488.451737
41,bandicam 2026-08-03 01-05-06-699.png,z_0041_489.463320.png,489.463320
42,bandicam 2026-08-03 01-05-08-139.png,z_0042_490.474903.png,490.474903
43,bandicam 2026-08-03 01-05-10-095.png,z_0043_491.486486.png,491.486486
44,bandicam 2026-08-03 01-05-11-332.png,z_0044_492.498069.png,492.498069
45,bandicam 2026-08-03 01-05-12-457.png,z_0045_493.509653.png,493.509653
46,bandicam 2026-08-03 01-05-14-595.png,z_0046_494.521236.png,494.521236
47,bandicam 2026-08-03 01-05-17-042.png,z_0047_495.532819.png,495.532819
48,bandicam 2026-08-03 01-05-18-938.png,z_0048_496.544402.png,496.544402
49,bandicam 2026-08-03 01-05-21-831.png,z_0049_497.555985.png,497.555985
50,bandicam 2026-08-03 01-05-23-809.png,z_0050_498.567568.png,498.567568
51,bandicam 2026-08-03 01-05-25-229.png,z_0051_499.579151.png,499.579151
52,bandicam 2026-08-03 01-05-27-238.png,z_0052_500.590734.png,500.590734
53,bandicam 2026-08-03 01-05-29-093.png,z_0053_501.602317.png,501.602317
54,bandicam 2026-08-03 01-05-31-877.png,z_0054_502.613900.png,502.613900
55,bandicam 2026-08-03 01-05-33-426.png,z_0055_503.625483.png,503.625483
56,bandicam 2026-08-03 01-05-34-930.png,z_0056_504.637066.png,504.637066
57,bandicam 2026-08-03 01-05-36-536.png,z_0057_505.648649.png,505.648649
58,bandicam 2026-08-03 01-05-38-334.png,z_0058_506.660232.png,506.660232
59,bandicam 2026-08-03 01-05-40-311.png,z_0059_507.671815.png,507.671815
60,bandicam 2026-08-03 01-05-42-086.png,z_0060_508.683398.png,508.683398
61,bandicam 2026-08-03 01-05-43-514.png,z_0061_509.694981.png,509.694981
62,bandicam 2026-08-03 01-05-45-175.png,z_0062_510.706564.png,510.706564
63,bandicam 2026-08-03 01-05-46-999.png,z_0063_511.718147.png,511.718147
64,bandicam 2026-08-03 01-05-48-496.png,z_0064_512.729730.png,512.729730
65,bandicam 2026-08-03 01-05-49-792.png,z_0065_513.741313.png,513.741313
66,bandicam 2026-08-03 01-05-51-177.png,z_0066_514.752896.png,514.752896
67,bandicam 2026-08-03 01-05-52-685.png,z_0067_515.764479.png,515.764479
68,bandicam 2026-08-03 01-05-54-029.png,z_0068_516.776062.png,516.776062
69,bandicam 2026-08-03 01-05-55-317.png,z_0069_517.787645.png,517.787645
70,bandicam 2026-08-03 01-05-56-555.png,z_0070_518.799228.png,518.799228
71,bandicam 2026-08-03 01-05-58-045.png,z_0071_519.810811.png,519.810811
72,bandicam 2026-08-03 01-05-59-493.png,z_0072_520.822394.png,520.822394
73,bandicam 2026-08-03 01-06-00-790.png,z_0073_521.833977.png,521.833977
74,bandicam 2026-08-03 01-06-02-162.png,z_0074_522.845560.png,522.845560
75,bandicam 2026-08-03 01-06-03-561.png,z_0075_523.857143.png,523.857143
76,bandicam 2026-08-03 01-06-05-265.png,z_0076_524.868726.png,524.868726
77,bandicam 2026-08-03 01-06-06-587.png,z_0077_525.880309.png,525.880309
78,bandicam 2026-08-03 01-06-07-813.png,z_0078_526.891892.png,526.891892
79,bandicam 2026-08-03 01-06-08-916.png,z_0079_527.903475.png,527.903475
80,bandicam 2026-08-03 01-06-10-147.png,z_0080_528.915058.png,528.915058
81,bandicam 2026-08-03 01-06-11-518.png,z_0081_529.926641.png,529.926641
82,bandicam 2026-08-03 01-06-12-853.png,z_0082_530.938224.png,530.938224
83,bandicam 2026-08-03 01-06-14-398.png,z_0083_531.949807.png,531.949807
84,bandicam 2026-08-03 01-06-15-676.png,z_0084_532.961390.png,532.961390
85,bandicam 2026-08-03 01-06-17-141.png,z_0085_533.972973.png,533.972973
86,bandicam 2026-08-03 01-06-18-466.png,z_0086_534.984556.png,534.984556
87,bandicam 2026-08-03 01-06-19-758.png,z_0087_535.996139.png,535.996139
88,bandicam 2026-08-03 01-06-21-078.png,z_0088_537.007722.png,537.007722
89,bandicam 2026-08-03 01-06-22-400.png,z_0089_538.019305.png,538.019305
90,bandicam 2026-08-03 01-06-23-631.png,z_0090_539.030888.png,539.030888
91,bandicam 2026-08-03 01-06-24-971.png,z_0091_540.042471.png,540.042471
92,bandicam 2026-08-03 01-06-26-002.png,z_0092_541.054054.png,541.054054
93,bandicam 2026-08-03 01-06-27-338.png,z_0093_542.065637.png,542.065637
94,bandicam 2026-08-03 01-06-28-775.png,z_0094_543.077220.png,543.077220
95,bandicam 2026-08-03 01-06-29-964.png,z_0095_544.088803.png,544.088803
96,bandicam 2026-08-03 01-06-31-237.png,z_0096_545.100386.png,545.100386
