color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#4a235a,29.845739,186.869781,6.261188
#9a7d0a,26.436617,149.456515,5.653390
#1b4f72,23.054039,119.620193,5.188687
#0e6251,17.904607,59.539291,3.325362
#5499c7,16.270057,108.033855,6.640042
#edbb99,15.051989,90.953385,6.042616
#48c9b0,14.251333,86.787732,6.089797
#52be80,13.557180,77.432124,5.711521
#922b21,13.357190,90.410534,6.768679
#f58231,13.286715,59.003747,4.440808
#117a65,12.787206,77.305577,6.045541
#85c1e9,11.410010,79.608037,6.977035
#fad7a0,10.902738,57.078794,5.235272
#196f3d,10.124163,60.289647,5.955025
#45b39d,8.924876,57.073674,6.394898
#82e0aa,8.915393,48.333996,5.421409
#145a32,8.338481,55.708331,6.680873
#154360,8.180795,53.727043,6.567460
#e59866,7.774308,56.726355,7.296644
#e74c3c,7.501333,44.673941,5.955467
#2ecc71,7.419747,51.471653,6.937117
#af7ac5,7.236772,58.387231,8.068132
#f8c471,7.180894,45.850040,6.385004
#3b3b98,6.970537,40.987639,5.880126
#d35400,6.809830,41.954602,6.160888
#7b241c,6.785284,43.029026,6.341522
#a9cce3,6.283683,46.538046,7.406173
#2e4053,6.274757,45.172825,7.199135
#512e5f,5.680274,38.100704,6.707547
#f1948a,5.367459,28.559293,5.320822
#d2b4de,5.058084,44.340321,8.766229
#b9770e,4.056415,21.930743,5.406435
#73c6b6,3.945077,26.960527,6.833967
#af601a,3.209458,26.488650,8.253309
#d68910,2.829607,20.986706,7.416827
#a3e4d7,2.557655,32.916368,12.869745
#cb4335,2.253998,16.948420,7.519270
#f7dc6f,1.465289,17.293470,11.802088
#a2d9ce,0.376968,8.399298,22.281196
#bb8fce,0.002092,0.162266,77.565010
