color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#15d445,1014.712665,0.040000,40.588507
#3281a8,371.219282,0.040000,14.848771
#4cd4bb,447.956522,0.040000,17.918261
#61d1be,443.202268,0.040000,17.728091
#630024,335.928166,0.040000,13.437127
#86bdb0,426.120983,0.040000,17.044839
#a1e06e,94.765595,0.040000,3.790624
#afeda4,342.196597,0.040000,13.687864
#b1d415,763.096408,0.040000,30.523856
#bf0d75,153.336484,0.040000,6.133459
#ce24d4,158.236295,0.040000,6.329452
#d41515,212.396975,0.040000,8.495879
#f2ec07,23.525520,0.040000,0.941021
