color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#15d445,40.588507,205.842951,5.071459
#b1d415,30.523856,154.944125,5.076165
#4cd4bb,17.918261,91.857860,5.126494
#61d1be,17.728091,74.296579,4.190896
#86bdb0,17.044839,110.476713,6.481535
#3281a8,14.848771,93.295774,6.283064
#afeda4,13.687864,71.652227,5.234727
#630024,13.437127,72.309848,5.381347
#d41515,8.495879,44.725920,5.264425
#ce24d4,6.329452,35.131422,5.550468
#bf0d75,6.133459,43.915065,7.159918
#a1e06e,3.790624,25.235861,6.657442
#f2ec07,0.941021,7.254615,7.709302
