color_hex,total_blob_count,total_perimeter_um,total_area_um2
#127d93,547,1692.862078,76.178793
#322d4f,1106,2059.944465,92.697501
#46a2a5,857,3075.240382,138.385817
#55087e,478,1211.615840,54.522713
#618128,499,1216.080079,54.723604
#88fe9d,341,1134.630401,51.058368
#9d9548,482,1512.158568,68.047136
#a46e60,539,1422.773446,64.024805
#a6057f,625,1399.149665,62.961735
#b1780b,399,1465.385055,65.942327
#b79506,752,1725.669374,77.655122
#bb4d92,968,2835.671843,127.605233
#cc78e7,1250,3440.039053,154.801757
#d10402,1524,6138.576154,276.235927
#d4194e,773,2644.651591,119.009322
