slice_file,color_hex,blob_count,perimeter_px,perimeter_um,slice_area_um2,slice_thickness_um
z_0001_350.000000.png,#322d4f,9,436.960461,14.248711,0.641192,0.045000
z_0001_350.000000.png,#55087e,4,423.445743,13.808013,0.621361,0.045000
z_0001_350.000000.png,#88fe9d,2,206.651804,6.738646,0.303239,0.045000
z_0001_350.000000.png,#a46e60,2,129.154329,4.211554,0.189520,0.045000
z_0001_350.000000.png,#a6057f,2,138.225397,4.507350,0.202831,0.045000
z_0001_350.000000.png,#b79506,5,366.575685,11.953555,0.537910,0.045000
z_0001_350.000000.png,#bb4d92,1,116.325902,3.793236,0.170696,0.045000
z_0001_350.000000.png,#cc78e7,2,59.698485,1.946690,0.087601,0.045000
z_0001_350.000000.png,#d10402,3,282.693434,9.218264,0.414822,0.045000
z_0001_350.000000.png,#d4194e,1,99.497475,3.244483,0.146002,0.045000
z_0002_351.005025.png,#322d4f,1,169.681241,5.533084,0.248989,0.045000
z_0002_351.005025.png,#55087e,1,234.936075,7.660959,0.344743,0.045000
z_0002_351.005025.png,#b79506,1,167.781746,5.471144,0.246201,0.045000
z_0002_351.005025.png,#bb4d92,1,116.669048,3.804425,0.171199,0.045000
z_0002_351.005025.png,#cc78e7,1,35.556349,1.159446,0.052175,0.045000
z_0002_351.005025.png,#d10402,1,105.840620,3.451325,0.155310,0.045000
z_0002_351.005025.png,#d4194e,1,97.497475,3.179265,0.143067,0.045000
z_0003_352.010050.png,#322d4f,5,349.220346,11.387620,0.512443,0.045000
z_0003_352.010050.png,#55087e,3,366.575685,11.953555,0.537910,0.045000
z_0003_352.010050.png,#88fe9d,1,130.468037,4.254393,0.191448,0.045000
z_0003_352.010050.png,#a46e60,2,123.982756,4.042916,0.181931,0.045000
z_0003_352.010050.png,#a6057f,2,131.396970,4.284684,0.192811,0.045000
z_0003_352.010050.png,#b79506,2,178.509668,5.820967,0.261944,0.045000
z_0003_352.010050.png,#bb4d92,1,275.521861,8.984409,0.404298,0.045000
z_0003_352.010050.png,#cc78e7,2,71.012193,2.315615,0.104203,0.045000
z_0003_352.010050.png,#d10402,2,405.847763,13.234166,0.595537,0.045000
z_0003_352.010050.png,#d4194e,1,103.396970,3.371640,0.151724,0.045000
z_0004_353.015075.png,#322d4f,5,373.705627,12.186053,0.548372,0.045000
z_0004_353.015075.png,#55087e,4,351.504617,11.462107,0.515795,0.045000
z_0004_353.015075.png,#88fe9d,1,117.154329,3.820250,0.171911,0.045000
z_0004_353.015075.png,#a46e60,2,121.154329,3.950685,0.177781,0.045000
z_0004_353.015075.png,#a6057f,2,122.083261,3.980976,0.179144,0.045000
z_0004_353.015075.png,#b79506,2,178.852814,5.832157,0.262447,0.045000
z_0004_353.015075.png,#bb4d92,1,293.764502,9.579277,0.431067,0.045000
z_0004_353.015075.png,#cc78e7,2,77.012193,2.511267,0.113007,0.045000
z_0004_353.015075.png,#d10402,2,406.575685,13.257903,0.596606,0.045000
z_0004_353.015075.png,#d4194e,1,100.568542,3.279409,0.147573,0.045000
z_0005_354.020101.png,#322d4f,4,405.019336,13.207152,0.594322,0.045000
z_0005_354.020101.png,#55087e,3,319.119841,10.406082,0.468274,0.045000
z_0005_354.020101.png,#88fe9d,1,108.911688,3.551468,0.159816,0.045000
z_0005_354.020101.png,#a46e60,2,125.053824,4.077842,0.183503,0.045000
z_0005_354.020101.png,#a6057f,2,116.325902,3.793236,0.170696,0.045000
z_0005_354.020101.png,#b79506,2,175.923882,5.736648,0.258149,0.045000
z_0005_354.020101.png,#bb4d92,1,303.906638,9.909999,0.445950,0.045000
z_0005_354.020101.png,#cc78e7,2,86.183766,2.810340,0.126465,0.045000
z_0005_354.020101.png,#d10402,2,405.261977,13.215064,0.594678,0.045000
z_0005_354.020101.png,#d4194e,1,97.740115,3.187178,0.143423,0.045000
z_0006_355.025126.png,#322d4f,4,427.303607,13.933813,0.627022,0.045000
z_0006_355.025126.png,#55087e,3,297.320851,9.695245,0.436286,0.045000
z_0006_355.025126.png,#88fe9d,1,109.254834,3.562658,0.160320,0.045000
z_0006_355.025126.png,#a46e60,2,118.811183,3.874278,0.174342,0.045000
z_0006_355.025126.png,#a6057f,2,107.254834,3.497440,0.157385,0.045000
z_0006_355.025126.png,#b79506,2,178.509668,5.820967,0.261944,0.045000
z_0006_355.025126.png,#bb4d92,1,335.362482,10.935733,0.492108,0.045000
