color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#d10402,63.489444,276.235927,4.350895
#46a2a5,31.046092,138.385817,4.457431
#d4194e,26.945276,119.009322,4.416705
#cc78e7,25.381451,154.801757,6.099011
#bb4d92,25.308385,127.605233,5.042014
#127d93,14.589953,76.178793,5.221319
#b1780b,13.851536,65.942327,4.760651
#9d9548,13.762823,68.047136,4.944272
#a46e60,12.134066,64.024805,5.276451
#322d4f,11.927786,92.697501,7.771560
#b79506,11.390816,77.655122,6.817345
#88fe9d,10.390949,51.058368,4.913735
#a6057f,8.788605,62.961735,7.164019
#55087e,8.773054,54.522713,6.214793
#618128,7.924918,54.723604,6.905258
