color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#a6d986,3.457615,9.503557,2.748587
#cc9966,2.500752,7.980296,3.191158
#70dc4a,2.497777,8.442297,3.379924
#e92923,1.656765,5.248732,3.168061
#f7510e,1.557612,3.755788,2.411247
#f70e98,1.217285,3.887545,3.193619
#c5e8ff,0.985097,3.220612,3.269335
#a1bfd9,0.960688,2.614219,2.721195
#076011,0.767907,2.672656,3.480442
#5465b8,0.697898,2.734605,3.918345
#de9c9e,0.690916,2.023318,2.928457
#fcba03,0.611253,2.342817,3.832811
#dc674a,0.538148,2.256522,4.193125
#780ef7,0.529405,1.752646,3.310596
#dcd84a,0.483623,1.706427,3.528424
#e3c5ff,0.386534,0.788216,2.039189
#990099,0.176630,0.531993,3.011906
#5a0007,0.174809,0.609224,3.485084
#319dc2,0.099153,0.510515,5.148760
#c5ffc8,0.055497,0.305401,5.503018
