color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#076011,19.197672,0.040000,0.767907
#319dc2,2.478833,0.040000,0.099153
#5465b8,17.447462,0.040000,0.697898
#5a0007,4.370214,0.040000,0.174809
#70dc4a,62.444426,0.040000,2.497777
#780ef7,13.235116,0.040000,0.529405
#990099,4.415753,0.040000,0.176630
#a1bfd9,24.017204,0.040000,0.960688
#a6d986,86.440378,0.040000,3.457615
#c5e8ff,24.627425,0.040000,0.985097
#c5ffc8,1.387418,0.040000,0.055497
#cc9966,62.518806,0.040000,2.500752
#dc674a,13.453702,0.040000,0.538148
#dcd84a,12.090572,0.040000,0.483623
#de9c9e,17.272896,0.040000,0.690916
#e3c5ff,9.663350,0.040000,0.386534
#e92923,41.419126,0.040000,1.656765
#f70e98,30.432113,0.040000,1.217285
#f7510e,38.940293,0.040000,1.557612
#fcba03,15.281329,0.040000,0.611253
