color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#b6384c,36.834272,179.051975,4.861016
#1fa2b1,20.622311,150.996123,7.321979
#1ab153,17.469624,68.108868,3.898703
#0ca76a,15.904787,82.041761,5.158306
#70ad51,12.972751,55.630284,4.288241
#473821,11.735611,65.804720,5.607268
#0f0a80,10.924291,41.658697,3.813401
#13ca98,9.118523,42.170244,4.624679
#74bd9a,8.198273,68.956293,8.411075
#a8d11c,7.693156,58.218547,7.567577
#d6c90f,6.879224,57.606683,8.374009
#588255,6.628092,44.873530,6.770203
#e89f84,6.626332,37.131786,5.603671
#5ba53b,6.495058,55.960738,8.615895
#3afc69,6.413453,53.473379,8.337689
#a17b6e,5.930255,44.778748,7.550898
#f05486,5.921997,39.349076,6.644562
#983986,5.622412,28.437744,5.057926
#946c15,4.885471,29.051193,5.946447
#53281f,4.833921,31.739255,6.565944
#64735a,4.561052,32.459590,7.116689
#82a6de,3.673894,24.693927,6.721459
#5f41ec,3.124999,18.422780,5.895291
#b6f82c,2.737797,21.004259,7.671956
#fea3e5,2.679204,19.088034,7.124517
#665346,2.304206,13.939387,6.049540
#6ce2d1,1.689614,11.373510,6.731425
