color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#0ca76a,397.619666,0.040000,15.904787
#0f0a80,273.107269,0.040000,10.924291
#13ca98,227.963063,0.040000,9.118523
#1ab153,436.740597,0.040000,17.469624
#1fa2b1,515.557767,0.040000,20.622311
#3afc69,160.336313,0.040000,6.413453
#473821,293.390285,0.040000,11.735611
#53281f,120.848035,0.040000,4.833921
#588255,165.702311,0.040000,6.628092
#5ba53b,162.376455,0.040000,6.495058
#5f41ec,78.124979,0.040000,3.124999
#64735a,114.026311,0.040000,4.561052
#665346,57.605161,0.040000,2.304206
#6ce2d1,42.240344,0.040000,1.689614
#70ad51,324.318772,0.040000,12.972751
#74bd9a,204.956822,0.040000,8.198273
#82a6de,91.847360,0.040000,3.673894
#946c15,122.136785,0.040000,4.885471
#983986,140.560297,0.040000,5.622412
#a17b6e,148.256367,0.040000,5.930255
#a8d11c,192.328892,0.040000,7.693156
#b6384c,920.856806,0.040000,36.834272
#b6f82c,68.444932,0.040000,2.737797
#d6c90f,171.980604,0.040000,6.879224
#e89f84,165.658290,0.040000,6.626332
#f05486,148.049924,0.040000,5.921997
#fea3e5,66.980098,0.040000,2.679204
