color_hex,total_blob_count,total_perimeter_um,total_area_um2
#0ca76a,664,2051.044014,82.041761
#0f0a80,354,1041.467428,41.658697
#13ca98,304,1054.256102,42.170244
#1ab153,449,1702.721703,68.108868
#1fa2b1,1863,3774.903081,150.996123
#3afc69,657,1336.834465,53.473379
#473821,620,1645.118007,65.804720
#53281f,357,793.481371,31.739255
#588255,474,1121.838249,44.873530
#5ba53b,714,1399.018462,55.960738
#5f41ec,177,460.569491,18.422780
#64735a,406,811.489759,32.459590
#665346,144,348.484663,13.939387
#6ce2d1,132,284.337738,11.373510
#70ad51,391,1390.757100,55.630284
#74bd9a,898,1723.907333,68.956293
#82a6de,239,617.348184,24.693927
#946c15,300,726.279822,29.051193
#983986,204,710.943607,28.437744
#a17b6e,521,1119.468704,44.778748
#a8d11c,693,1455.463683,58.218547
#b6384c,1245,4476.299367,179.051975
#b6f82c,271,525.106468,21.004259
#d6c90f,760,1440.167068,57.606683
#e89f84,370,928.294656,37.131786
#f05486,386,983.726890,39.349076
#fea3e5,212,477.200840,19.088034
