color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#15d445,33.398259,188.570160,5.646107
#b1d415,32.052363,195.933095,6.112906
#61d1be,26.764369,97.346372,3.637163
#86bdb0,24.431462,141.360595,5.786006
#3281a8,23.491402,145.807486,6.206845
#630024,21.207675,87.019622,4.103214
#4cd4bb,15.428658,85.509271,5.542236
#d41515,10.764804,65.782433,6.110881
#afeda4,7.927938,57.110526,7.203705
#ce24d4,5.925813,32.737804,5.524610
#a1e06e,4.003539,26.894547,6.717693
#bf0d75,3.597298,32.977203,9.167215
#f2ec07,2.350707,14.812728,6.301393
