color_hex,total_blob_count,total_perimeter_um,total_area_um2
#1abc9c,377,1019.146300,40.765852
#1f618d,1799,4918.134039,196.725362
#58d68d,253,570.595848,22.823834
#5d6d7e,909,1937.244081,77.489763
#5dade2,672,1487.682012,59.507280
#6c3483,651,1658.582572,66.343303
#76d7c4,303,542.754857,21.710194
#7d6608,1019,2454.209970,98.168399
#7e5109,668,1783.519846,71.340794
#aed6f1,196,466.331370,18.653255
#d7bde2,605,1771.899175,70.875967
#eb984e,600,1222.411348,48.896454
#f4d03f,326,621.631572,24.865263
#f5b041,844,1808.838252,72.353530
#f9e79f,1191,1809.640905,72.385636
