color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#1f618d,36.111384,196.725362,5.447738
#7d6608,16.233518,98.168399,6.047266
#7e5109,14.702681,71.340794,4.852230
#f9e79f,12.957815,72.385636,5.586253
#d7bde2,12.729421,70.875967,5.567886
#6c3483,11.658208,66.343303,5.690695
#f5b041,10.743239,72.353530,6.734797
#5d6d7e,10.284917,77.489763,7.534311
#5dade2,9.075728,59.507280,6.556750
#eb984e,6.960170,48.896454,7.025181
#1abc9c,6.795790,40.765852,5.998692
#aed6f1,3.605671,18.653255,5.173310
#58d68d,3.570945,22.823834,6.391539
#76d7c4,3.144793,21.710194,6.903537
#f4d03f,3.130615,24.865263,7.942613
