slice_file,color_hex,area_px,cross_section_area_um2,slice_volume_um3,slice_thickness_um
z_0001_338.000000.png,#34ebb1,10,0.008651,0.000346,0.040000
z_0001_338.000000.png,#7a78ff,2685,2.322664,0.092907,0.040000
z_0001_338.000000.png,#87ab52,1506,1.302768,0.052111,0.040000
z_0001_338.000000.png,#912773,3985,3.447232,0.137889,0.040000
z_0001_338.000000.png,#a178ad,9290,8.036332,0.321453,0.040000
z_0001_338.000000.png,#a7e8c4,221,0.191176,0.007647,0.040000
z_0001_338.000000.png,#b5c5eb,2144,1.854671,0.074187,0.040000
z_0001_338.000000.png,#f0ed97,93,0.080450,0.003218,0.040000
z_0001_338.000000.png,#fcbf79,3954,3.420415,0.136817,0.040000
z_0002_339.000000.png,#03fc5a,67,0.057958,0.002318,0.040000
z_0002_339.000000.png,#34ebb1,19,0.016436,0.000657,0.040000
z_0002_339.000000.png,#7a78ff,3385,2.928201,0.117128,0.040000
z_0002_339.000000.png,#87ab52,1073,0.928201,0.037128,0.040000
z_0002_339.000000.png,#912773,3817,3.301903,0.132076,0.040000
z_0002_339.000000.png,#a178ad,9648,8.346021,0.333841,0.040000
z_0002_339.000000.png,#a7e8c4,243,0.210208,0.008408,0.040000
z_0002_339.000000.png,#b5c5eb,2229,1.928201,0.077128,0.040000
z_0002_339.000000.png,#f0ed97,99,0.085640,0.003426,0.040000
z_0002_339.000000.png,#fcbf79,3996,3.456747,0.138270,0.040000
z_0003_340.000000.png,#03fc5a,66,0.057093,0.002284,0.040000
z_0003_340.000000.png,#34ebb1,19,0.016436,0.000657,0.040000
z_0003_340.000000.png,#7a78ff,3389,2.931661,0.117266,0.040000
z_0003_340.000000.png,#87ab52,1078,0.932526,0.037301,0.040000
z_0003_340.000000.png,#912773,3795,3.282872,0.131315,0.040000
z_0003_340.000000.png,#a178ad,9647,8.345156,0.333806,0.040000
z_0003_340.000000.png,#a7e8c4,243,0.210208,0.008408,0.040000
z_0003_340.000000.png,#b5c5eb,2229,1.928201,0.077128,0.040000
z_0003_340.000000.png,#f0ed97,99,0.085640,0.003426,0.040000
z_0003_340.000000.png,#fcbf79,4000,3.460208,0.138408,0.040000
