slice_index,original_filename,processed_filename,z_coordinate
1,bandicam 2026-08-02 21-55-01-753.png,z_0001_355.000000.png,355.000000
2,bandicam 2026-08-02 21-55-02-902.png,z_0002_356.000000.png,356.000000
3,bandicam 2026-08-02 21-55-04-324.png,z_0003_357.000000.png,357.000000
4,bandicam 2026-08-02 21-55-05-600.png,z_0004_358.000000.png,358.000000
5,bandicam 2026-08-02 21-55-07-277.png,z_0005_359.000000.png,359.000000
6,bandicam 2026-08-02 21-55-08-523.png,z_0006_360.000000.png,360.000000
7,bandicam 2026-08-02 21-55-09-820.png,z_0007_361.000000.png,361.000000
8,bandicam 2026-08-02 21-55-11-496.png,z_0008_362.000000.png,362.000000
9,bandicam 2026-08-02 21-55-13-078.png,z_0009_363.000000.png,363.000000
10,bandicam 2026-08-02 21-55-14-750.png,z_0010_364.000000.png,364.000000
11,bandicam 2026-08-02 21-55-16-429.png,z_0011_365.000000.png,365.000000
12,bandicam 2026-08-02 21-55-18-019.png,z_0012_366.000000.png,366.000000
13,bandicam 2026-08-02 21-55-19-505.png,z_0013_367.000000.png,367.000000
14,bandicam 2026-08-02 21-55-21-107.png,z_0014_368.000000.png,368.000000
15,bandicam 2026-08-02 21-55-22-552.png,z_0015_369.000000.png,369.000000
16,bandicam 2026-08-02 21-55-24-051.png,z_0016_370.000000.png,370.000000
17,bandicam 2026-08-02 21-55-25-326.png,z_0017_371.000000.png,371.000000
18,bandicam 2026-08-02 21-55-26-660.png,z_0018_372.000000.png,372.000000
19,bandicam 2026-08-02 21-55-28-093.png,z_0019_373.000000.png,373.000000
20,bandicam 2026-08-02 21-55-29-677.png,z_0020_374.000000.png,374.000000
21,bandicam 2026-08-02 21-55-31-090.png,z_0021_375.000000.png,375.000000
22,bandicam 2026-08-02 21-55-52-027.png,z_0022_376.000000.png,376.000000
23,bandicam 2026-08-02 21-55-53-463.png,z_0023_377.000000.png,377.000000
24,bandicam 2026-08-02 21-55-54-849.png,z_0024_378.000000.png,378.000000
25,bandicam 2026-08-02 21-55-55-933.png,z_0025_379.000000.png,379.000000
26,bandicam 2026-08-02 21-55-57-082.png,z_0026_380.000000.png,380.000000
27,bandicam 2026-08-02 21-55-58-188.png,z_0027_381.000000.png,381.000000
28,bandicam 2026-08-02 21-56-00-182.png,z_0028_382.000000.png,382.000000
29,bandicam 2026-08-02 21-56-01-553.png,z_0029_383.000000.png,383.000000
30,bandicam 2026-08-02 21-56-02-718.png,z_0030_384.000000.png,384.000000
31,bandicam 2026-08-02 21-56-03-967.png,z_0031_385.000000.png,385.000000
32,bandicam 2026-08-02 21-56-05-242.png,z_0032_386.000000.png,386.000000
33,bandicam 2026-08-02 21-56-06-571.png,z_0033_387.000000.png,387.000000
34,bandicam 2026-08-02 21-56-15-583.png,z_0034_388.000000.png,388.000000
35,bandicam 2026-08-02 21-56-22-250.png,z_0035_389.000000.png,389.000000
36,bandicam 2026-08-02 21-56-25-422.png,z_0036_390.000000.png,390.000000
37,bandicam 2026-08-02 21-56-28-949.png,z_0037_391.000000.png,391.000000
38,bandicam 2026-08-02 21-56-32-230.png,z_0038_392.000000.png,392.000000
39,bandicam 2026-08-02 21-56-35-110.png,z_0039_393.000000.png,393.000000
40,bandicam 2026-08-02 21-56-40-124.png,z_0040_394.000000.png,394.000000
41,bandicam 2026-08-02 21-56-43-958.png,z_0041_395.000000.png,395.000000
42,bandicam 2026-08-02 21-56-48-109.png,z_0042_396.000000.png,396.000000
43,bandicam 2026-08-02 21-56-51-621.png,z_0043_397.000000.png,397.000000
44,bandicam 2026-08-02 21-56-54-328.png,z_0044_398.000000.png,398.000000
45,bandicam 2026-08-02 21-56-57-413.png,z_0045_399.000000.png,399.000000
46,bandicam 2026-08-02 21-57-21-760.png,z_0046_400.000000.png,400.000000
47,bandicam 2026-08-02 21-57-36-500.png,z_0047_401.000000.png,401.000000
48,bandicam 2026-08-02 21-57-51-793.png,z_0048_402.000000.png,402.000000
49,bandicam 2026-08-02 21-58-02-639.png,z_0049_403.000000.png,403.000000
50,bandicam 2026-08-02 21-58-05-001.png,z_0050_404.000000.png,404.000000
51,bandicam 2026-08-02 21-58-07-308.png,z_0051_405.000000.png,405.000000
52,bandicam 2026-08-02 21-58-09-404.png,z_0052_406.000000.png,406.000000
53,bandicam 2026-08-02 21-58-11-112.png,z_0053_407.000000.png,407.000000
54,bandicam 2026-08-02 21-58-13-414.png,z_0054_408.000000.png,408.000000
55,bandicam 2026-08-02 21-58-15-920.png,z_0055_409.000000.png,409.000000
56,bandicam 2026-08-02 21-58-18-497.png,z_0056_410.000000.png,410.000000
57,bandicam 2026-08-02 21-58-20-572.png,z_0057_411.000000.png,411.000000
58,bandicam 2026-08-02 21-58-22-740.png,z_0058_412.000000.png,412.000000
59,bandicam 2026-08-02 21-58-24-921.png,z_0059_413.000000.png,413.000000
60,bandicam 2026-08-02 21-58-26-889.png,z_0060_414.000000.png,414.000000
61,bandicam 2026-08-02 21-58-30-695.png,z_0061_415.000000.png,415.000000
62,bandicam 2026-08-02 21-58-32-743.png,z_0062_416.000000.png,416.000000
63,bandicam 2026-08-02 21-58-34-905.png,z_0063_417.000000.png,417.000000
64,bandicam 2026-08-02 21-58-37-003.png,z_0064_418.000000.png,418.000000
65,bandicam 2026-08-02 21-58-39-730.png,z_0065_419.000000.png,419.000000
66,bandicam 2026-08-02 21-58-42-385.png,z_0066_420.000000.png,420.000000
67,bandicam 2026-08-02 21-58-45-215.png,z_0067_421.000000.png,421.000000
68,bandicam 2026-08-02 21-58-48-228.png,z_0068_422.000000.png,422.000000
69,bandicam 2026-08-02 21-58-51-497.png,z_0069_423.000000.png,423.000000
70,bandicam 2026-08-02 21-58-53-637.png,z_0070_424.000000.png,424.000000
71,bandicam 2026-08-02 21-58-55-773.png,z_0071_425.000000.png,425.000000
72,bandicam 2026-08-02 21-58-58-173.png,z_0072_426.000000.png,426.000000
73,bandicam 2026-08-02 21-59-00-622.png,z_0073_427.000000.png,427.000000
