color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#a178ad,74.435973,397.573977,5.341154
#03fc5a,62.989524,309.910092,4.920026
#39a389,35.262691,152.744231,4.331610
#963521,34.404316,160.510351,4.665413
#756e50,31.886309,161.666054,5.070077
#85150b,30.430158,149.504302,4.913031
#fcbf79,28.417603,162.893001,5.732116
#b5c5eb,28.179424,164.580916,5.840464
#b5eda8,27.607379,168.994204,6.121342
#7a78ff,25.720667,151.786309,5.901336
#a7e8c4,19.109217,100.462502,5.257280
#912773,14.673837,107.390282,7.318487
#93a0c7,13.695054,81.191168,5.928503
#3184de,13.149411,93.033234,7.075088
#f0ed97,12.683983,85.410652,6.733741
#8a4334,10.533700,53.584954,5.087002
#87ab52,8.515090,64.929878,7.625272
#34ebb1,7.027493,53.271207,7.580400
#412c96,4.760782,28.119443,5.906476
#962c65,4.636788,34.195534,7.374832
#a11033,3.694217,31.451426,8.513692
#fbff00,0.496875,4.978970,10.020569
