color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#15d445,22.085586,106.179278,4.807628
#ce24d4,19.984219,128.114506,6.410784
#4cd4bb,15.154258,86.743729,5.724050
#4f736e,14.672305,102.200227,6.965520
#374a29,13.922734,105.561227,7.581932
#630024,13.691758,77.021073,5.625360
#e8d9ff,13.086172,82.693462,6.319148
#b1d415,12.220000,85.944438,7.033096
#1a2496,11.158359,55.213781,4.948199
#47964c,11.121641,82.019821,7.374795
#ed755c,10.541445,87.404633,8.291523
#3281a8,6.865234,47.592485,6.932391
#1b9aaa,6.122383,47.620837,7.778154
#8a4334,5.743594,48.418544,8.430008
#756e50,5.597344,37.478148,6.695702
#ff7300,5.116133,44.548282,8.707413
#f5c4c4,4.051328,38.564031,9.518862
#afeda4,2.759883,19.681410,7.131248
#bf0d75,2.730820,21.578673,7.901902
#c73e1d,0.618828,6.638883,10.728155
