color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#15d445,552.139648,0.040000,22.085586
#1a2496,278.958984,0.040000,11.158359
#1b9aaa,153.059570,0.040000,6.122383
#3281a8,171.630859,0.040000,6.865234
#374a29,348.068359,0.040000,13.922734
#47964c,278.041016,0.040000,11.121641
#4cd4bb,378.856445,0.040000,15.154258
#4f736e,366.807617,0.040000,14.672305
#630024,342.293945,0.040000,13.691758
#756e50,139.933594,0.040000,5.597344
#8a4334,143.589844,0.040000,5.743594
#afeda4,68.997070,0.040000,2.759883
#b1d415,305.500000,0.040000,12.220000
#bf0d75,68.270508,0.040000,2.730820
#c73e1d,15.470703,0.040000,0.618828
#ce24d4,499.605469,0.040000,19.984219
#e8d9ff,327.154297,0.040000,13.086172
#ed755c,263.536133,0.040000,10.541445
#f5c4c4,101.283203,0.040000,4.051328
#ff7300,127.903320,0.040000,5.116133
