slice_file,color_hex,area_px,cross_section_area_um2,slice_volume_um3,slice_thickness_um
z_0001_222.000000.png,#15d445,2199,2.147461,0.085898,0.040000
z_0001_222.000000.png,#1a2496,19,0.018555,0.000742,0.040000
z_0001_222.000000.png,#1b9aaa,819,0.799805,0.031992,0.040000
z_0001_222.000000.png,#3281a8,1749,1.708008,0.068320,0.040000
z_0001_222.000000.png,#374a29,1229,1.200195,0.048008,0.040000
z_0001_222.000000.png,#47964c,5844,5.707031,0.228281,0.040000
z_0001_222.000000.png,#4cd4bb,602,0.587891,0.023516,0.040000
z_0001_222.000000.png,#4f736e,219,0.213867,0.008555,0.040000
z_0001_222.000000.png,#630024,1143,1.116211,0.044648,0.040000
z_0001_222.000000.png,#8a4334,282,0.275391,0.011016,0.040000
z_0001_222.000000.png,#afeda4,34,0.033203,0.001328,0.040000
z_0001_222.000000.png,#b1d415,1469,1.434570,0.057383,0.040000
z_0001_222.000000.png,#ce24d4,3106,3.033203,0.121328,0.040000
z_0001_222.000000.png,#e8d9ff,193,0.188477,0.007539,0.040000
z_0001_222.000000.png,#f5c4c4,462,0.451172,0.018047,0.040000
z_0001_222.000000.png,#ff7300,714,0.697266,0.027891,0.040000
z_0002_223.416107.png,#15d445,1945,1.899414,0.075977,0.040000
z_0002_223.416107.png,#1a2496,23,0.022461,0.000898,0.040000
z_0002_223.416107.png,#1b9aaa,851,0.831055,0.033242,0.040000
z_0002_223.416107.png,#3281a8,1696,1.656250,0.066250,0.040000
z_0002_223.416107.png,#374a29,1233,1.204102,0.048164,0.040000
z_0002_223.416107.png,#47964c,5843,5.706055,0.228242,0.040000
z_0002_223.416107.png,#4cd4bb,610,0.595703,0.023828,0.040000
z_0002_223.416107.png,#4f736e,218,0.212891,0.008516,0.040000
z_0002_223.416107.png,#630024,1182,1.154297,0.046172,0.040000
z_0002_223.416107.png,#8a4334,248,0.242188,0.009687,0.040000
z_0002_223.416107.png,#afeda4,33,0.032227,0.001289,0.040000
z_0002_223.416107.png,#b1d415,1360,1.328125,0.053125,0.040000
z_0002_223.416107.png,#ce24d4,2815,2.749023,0.109961,0.040000
z_0002_223.416107.png,#e8d9ff,190,0.185547,0.007422,0.040000
z_0002_223.416107.png,#f5c4c4,540,0.527344,0.021094,0.040000
z_0002_223.416107.png,#ff7300,652,0.636719,0.025469,0.040000
z_0003_224.832215.png,#15d445,1895,1.850586,0.074023,0.040000
z_0003_224.832215.png,#1a2496,12,0.011719,0.000469,0.040000
z_0003_224.832215.png,#1b9aaa,800,0.781250,0.031250,0.040000
z_0003_224.832215.png,#3281a8,1712,1.671875,0.066875,0.040000
z_0003_224.832215.png,#374a29,1194,1.166016,0.046641,0.040000
z_0003_224.832215.png,#47964c,6123,5.979492,0.239180,0.040000
z_0003_224.832215.png,#4cd4bb,648,0.632812,0.025313,0.040000
z_0003_224.832215.png,#4f736e,217,0.211914,0.008477,0.040000
z_0003_224.832215.png,#630024,1233,1.204102,0.048164,0.040000
z_0003_224.832215.png,#8a4334,213,0.208008,0.008320,0.040000
z_0003_224.832215.png,#afeda4,34,0.033203,0.001328,0.040000
z_0003_224.832215.png,#b1d415,1247,1.217773,0.048711,0.040000
z_0003_224.832215.png,#ce24d4,2454,2.396484,0.095859,0.040000
z_0003_224.832215.png,#e8d9ff,251,0.245117,0.009805,0.040000
z_0003_224.832215.png,#f5c4c4,596,0.582031,0.023281,0.040000
z_0003_224.832215.png,#ff7300,595,0.581055,0.023242,0.040000
z_0004_226.248322.png,#15d445,1516,1.480469,0.059219,0.040000
z_0004_226.248322.png,#1b9aaa,881,0.860352,0.034414,0.040000
z_0004_226.248322.png,#3281a8,1811,1.768555,0.070742,0.040000
z_0004_226.248322.png,#374a29,1109,1.083008,0.043320,0.040000
z_0004_226.248322.png,#47964c,6531,6.377930,0.255117,0.040000
z_0004_226.248322.png,#4cd4bb,669,0.653320,0.026133,0.040000
z_0004_226.248322.png,#4f736e,207,0.202148,0.008086,0.040000
z_0004_226.248322.png,#630024,1291,1.260742,0.050430,0.040000
z_0004_226.248322.png,#8a4334,184,0.179688,0.007188,0.040000
z_0004_226.248322.png,#afeda4,37,0.036133,0.001445,0.040000
z_0004_226.248322.png,#b1d415,1189,1.161133,0.046445,0.040000
z_0004_226.248322.png,#ce24d4,1943,1.897461,0.075898,0.040000
z_0004_226.248322.png,#e8d9ff,323,0.315430,0.012617,0.040000
z_0004_226.248322.png,#f5c4c4,640,0.625000,0.025000,0.040000
z_0004_226.248322.png,#ff7300,552,0.539062,0.021563,0.040000
z_0005_227.664430.png,#15d445,1254,1.224609,0.048984,0.040000
z_0005_227.664430.png,#1b9aaa,959,0.936523,0.037461,0.040000
z_0005_227.664430.png,#3281a8,1843,1.799805,0.071992,0.040000
z_0005_227.664430.png,#374a29,1100,1.074219,0.042969,0.040000
z_0005_227.664430.png,#47964c,6681,6.524414,0.260977,0.040000
z_0005_227.664430.png,#4cd4bb,728,0.710938,0.028438,0.040000
z_0005_227.664430.png,#4f736e,226,0.220703,0.008828,0.040000
z_0005_227.664430.png,#630024,1398,1.365234,0.054609,0.040000
z_0005_227.664430.png,#8a4334,175,0.170898,0.006836,0.040000
z_0005_227.664430.png,#afeda4,48,0.046875,0.001875,0.040000
z_0005_227.664430.png,#b1d415,1128,1.101562,0.044062,0.040000
z_0005_227.664430.png,#ce24d4,1533,1.497070,0.059883,0.040000
z_0005_227.664430.png,#e8d9ff,467,0.456055,0.018242,0.040000
z_0005_227.664430.png,#f5c4c4,595,0.581055,0.023242,0.040000
z_0005_227.664430.png,#ff7300,535,0.522461,0.020898,0.040000
z_0006_229.080537.png,#15d445,1259,1.229492,0.049180,0.040000
z_0006_229.080537.png,#1b9aaa,1279,1.249023,0.049961,0.040000
z_0006_229.080537.png,#3281a8,1893,1.848633,0.073945,0.040000
z_0006_229.080537.png,#374a29,1133,1.106445,0.044258,0.040000
z_0006_229.080537.png,#47964c,6900,6.738281,0.269531,0.040000
z_0006_229.080537.png,#4cd4bb,737,0.719727,0.028789,0.040000
z_0006_229.080537.png,#4f736e,233,0.227539,0.009102,0.040000
z_0006_229.080537.png,#630024,1671,1.631836,0.065273,0.040000
z_0006_229.080537.png,#8a4334,176,0.171875,0.006875,0.040000
z_0006_229.080537.png,#afeda4,45,0.043945,0.001758,0.040000
z_0006_229.080537.png,#b1d415,1122,1.095703,0.043828,0.040000
z_0006_229.080537.png,#ce24d4,1168,1.140625,0.045625,0.040000
z_0006_229.080537.png,#e8d9ff,603,0.588867,0.023555,0.040000
z_0006_229.080537.png,#f5c4c4,569,0.555664,0.022227,0.040000
z_0006_229.080537.png,#ff7300,481,0.469727,0.018789,0.040000
z_0007_230.496644.png,#15d445,1234,1.205078,0.048203,0.040000
z_0007_230.496644.png,#1b9aaa,1504,1.468750,0.058750,0.040000
z_0007_230.496644.png,#3281a8,1900,1.855469,0.074219,0.040000
z_0007_230.496644.png,#374a29,1215,1.186523,0.047461,0.040000
z_0007_230.496644.png,#47964c,7341,7.168945,0.286758,0.040000
z_0007_230.496644.png,#4cd4bb,765,0.747070,0.029883,0.040000
z_0007_230.496644.png,#4f736e,218,0.212891,0.008516,0.040000
z_0007_230.496644.png,#630024,1873,1.829102,0.073164,0.040000
z_0007_230.496644.png,#8a4334,171,0.166992,0.006680,0.040000
z_0007_230.496644.png,#afeda4,55,0.053711,0.002148,0.040000
z_0007_230.496644.png,#b1d415,1179,1.151367,0.046055,0.040000
z_0007_230.496644.png,#ce24d4,835,0.815430,0.032617,0.040000
z_0007_230.496644.png,#e8d9ff,773,0.754883,0.030195,0.040000
z_0007_230.496644.png,#f5c4c4,520,0.507812,0.020313,0.040000
z_0007_230.496644.png,#ff7300,463,0.452148,0.018086,0.040000
z_0008_231.912752.png,#15d445,1416,1.382812,0.055313,0.040000
z_0008_231.912752.png,#1b9aaa,1750,1.708984,0.068359,0.040000
z_0008_231.912752.png,#3281a8,1879,1.834961,0.073398,0.040000
z_0008_231.912752.png,#374a29,1273,1.243164,0.049727,0.040000
z_0008_231.912752.png,#47964c,7991,7.803711,0.312148,0.040000
z_0008_231.912752.png,#4cd4bb,735,0.717773,0.028711,0.040000
z_0008_231.912752.png,#4f736e,213,0.208008,0.008320,0.040000
z_0008_231.912752.png,#630024,2124,2.074219,0.082969,0.040000
z_0008_231.912752.png,#8a4334,131,0.127930,0.005117,0.040000
z_0008_231.912752.png,#afeda4,72,0.070312,0.002812,0.040000
z_0008_231.912752.png,#b1d415,1214,1.185547,0.047422,0.040000
z_0008_231.912752.png,#ce24d4,577,0.563477,0.022539,0.040000
z_0008_231.912752.png,#e8d9ff,951,0.928711,0.037148,0.040000
z_0008_231.912752.png,#f5c4c4,535,0.522461,0.020898,0.040000
z_0008_231.912752.png,#ff7300,433,0.422852,0.016914,0.040000
z_0009_233.328859.png,#15d445,1699,1.659180,0.066367,0.040000
z_0009_233.328859.png,#1b9aaa,2007,1.959961,0.078398,0.040000
z_0009_233.328859.png,#3281a8,1856,1.812500,0.072500,0.040000
z_0009_233.328859.png,#374a29,1316,1.285156,0.051406,0.040000
z_0009_233.328859.png,#47964c,8237,8.043945,0.321758,0.040000
z_0009_233.328859.png,#4cd4bb,710,0.693359,0.027734,0.040000
z_0009_233.328859.png,#4f736e,215,0.209961,0.008398,0.040000
z_0009_233.328859.png,#630024,2102,2.052734,0.082109,0.040000
z_0009_233.328859.png,#8a4334,123,0.120117,0.004805,0.040000
z_0009_233.328859.png,#afeda4,76,0.074219,0.002969,0.040000
z_0009_233.328859.png,#b1d415,1286,1.255859,0.050234,0.040000
z_0009_233.328859.png,#ce24d4,400,0.390625,0.015625,0.040000
z_0009_233.328859.png,#e8d9ff,1172,1.144531,0.045781,0.040000
z_0009_233.328859.png,#f5c4c4,558,0.544922,0.021797,0.040000
z_0009_233.328859.png,#ff7300,426,0.416016,0.016641,0.040000
z_0010_234.744966.png,#15d445,2145,2.094727,0.083789,0.040000
z_0010_234.744966.png,#1b9aaa,2308,2.253906,0.090156,0.040000
z_0010_234.744966.png,#3281a8,1803,1.760742,0.070430,0.040000
z_0010_234.744966.png,#374a29,1349,1.317383,0.052695,0.040000
z_0010_234.744966.png,#47964c,8350,8.154297,0.326172,0.040000
z_0010_234.744966.png,#4cd4bb,690,0.673828,0.026953,0.040000
z_0010_234.744966.png,#4f736e,246,0.240234,0.009609,0.040000
z_0010_234.744966.png,#630024,1801,1.758789,0.070352,0.040000
z_0010_234.744966.png,#756e50,22,0.021484,0.000859,0.040000
z_0010_234.744966.png,#8a4334,134,0.130859,0.005234,0.040000
z_0010_234.744966.png,#afeda4,109,0.106445,0.004258,0.040000
z_0010_234.744966.png,#b1d415,1294,1.263672,0.050547,0.040000
z_0010_234.744966.png,#ce24d4,275,0.268555,0.010742,0.040000
z_0010_234.744966.png,#e8d9ff,1475,1.440430,0.057617,0.040000
z_0010_234.744966.png,#f5c4c4,613,0.598633,0.023945,0.040000
z_0010_234.744966.png,#ff7300,430,0.419922,0.016797,0.040000
z_0011_236.161074.png,#15d445,2414,2.357422,0.094297,0.040000
z_0011_236.161074.png,#1b9aaa,2744,2.679688,0.107188,0.040000
z_0011_236.161074.png,#3281a8,1728,1.687500,0.067500,0.040000
z_0011_236.161074.png,#374a29,1407,1.374023,0.054961,0.040000
z_0011_236.161074.png,#47964c,8662,8.458984,0.338359,0.040000
z_0011_236.161074.png,#4cd4bb,669,0.653320,0.026133,0.040000
z_0011_236.161074.png,#4f736e,255,0.249023,0.009961,0.040000
z_0011_236.161074.png,#630024,1784,1.742188,0.069687,0.040000
z_0011_236.161074.png,#756e50,85,0.083008,0.003320,0.040000
z_0011_236.161074.png,#8a4334,143,0.139648,0.005586,0.040000
z_0011_236.161074.png,#afeda4,131,0.127930,0.005117,0.040000
z_0011_236.161074.png,#b1d415,1346,1.314453,0.052578,0.040000
z_0011_236.161074.png,#ce24d4,269,0.262695,0.010508,0.040000
