color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#03fc5a,274.950311,0.045000,12.372764
#15d445,37.783806,0.045000,1.700271
#365187,775.927059,0.045000,34.916718
#374a29,542.424083,0.045000,24.409084
#47964c,477.913080,0.045000,21.506089
#6c1273,192.307266,0.045000,8.653827
#75a832,267.081384,0.045000,12.018662
#85150b,91.990588,0.045000,4.139576
#86a863,111.745744,0.045000,5.028558
#8a4334,396.707543,0.045000,17.851839
#a178ad,241.574948,0.045000,10.870873
#a85e32,354.855363,0.045000,15.968491
#b1d415,53.727197,0.045000,2.417724
#b452ff,205.713218,0.045000,9.257095
#c9fa5f,257.446090,0.045000,11.585074
#ce24d4,635.205675,0.045000,28.584255
#d41515,128.216055,0.045000,5.769722
#ed755c,91.874740,0.045000,4.134363
#f0ed97,398.568581,0.045000,17.935586
#f5b942,31.310035,0.045000,1.408952
#fcbf79,283.865606,0.045000,12.773952
