color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#365187,34.916718,166.476003,4.767802
#ce24d4,28.584255,134.465207,4.704170
#374a29,24.409084,164.054054,6.721025
#47964c,21.506089,121.345858,5.642395
#f0ed97,17.935586,109.649281,6.113504
#8a4334,17.851839,106.673588,5.975496
#a85e32,15.968491,83.800866,5.247889
#fcbf79,12.773952,71.827057,5.622931
#03fc5a,12.372764,73.779724,5.963075
#75a832,12.018662,85.302953,7.097542
#c9fa5f,11.585074,77.729637,6.709464
#a178ad,10.870873,56.599123,5.206493
#b452ff,9.257095,61.063806,6.596433
#6c1273,8.653827,56.795287,6.563025
#d41515,5.769722,36.412829,6.311020
#86a863,5.028558,36.341460,7.227014
#85150b,4.139576,20.711286,5.003238
#ed755c,4.134363,29.943011,7.242473
#b1d415,2.417724,20.613659,8.526060
#15d445,1.700271,9.561602,5.623575
#f5b942,1.408952,12.036619,8.542959
