color_hex,total_blob_count,total_perimeter_um,total_area_um2
#03fc5a,636,1639.549431,73.779724
#15d445,94,212.480038,9.561602
#365187,1260,3699.466731,166.476003
#374a29,1643,3645.645648,164.054054
#47964c,959,2696.574630,121.345858
#6c1273,591,1262.117486,56.795287
#75a832,901,1895.621178,85.302953
#85150b,114,460.250794,20.711286
#86a863,353,807.587990,36.341460
#8a4334,945,2370.524182,106.673588
#a178ad,482,1257.758290,56.599123
#a85e32,633,1862.241463,83.800866
#b1d415,258,458.081303,20.613659
#b452ff,526,1356.973467,61.063806
#c9fa5f,848,1727.325262,77.729637
#ce24d4,1020,2988.115717,134.465207
#d41515,358,809.173969,36.412829
#ed755c,297,665.400236,29.943011
#f0ed97,940,2436.650691,109.649281
#f5b942,158,267.480428,12.036619
#fcbf79,579,1596.156829,71.827057
