color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#00ffaa,74.425556,0.040000,2.977022
#1f1945,167.632222,0.040000,6.705289
#2600ff,169.580000,0.040000,6.783200
#2727e8,154.133333,0.040000,6.165333
#388c00,48.836667,0.040000,1.953467
#44ff00,429.281111,0.040000,17.171244
#5b8f73,35.000000,0.040000,1.400000
#687550,455.386667,0.040000,18.215467
#86b5eb,764.796667,0.040000,30.591867
#8f7cfc,38.360000,0.040000,1.534400
#9486bd,585.021111,0.040000,23.400844
#9786eb,326.765556,0.040000,13.070622
#9b33b5,186.264444,0.040000,7.450578
#9c0027,74.102222,0.040000,2.964089
#b0d4ff,184.998889,0.040000,7.399956
#c003ff,247.590000,0.040000,9.903600
#d0ebf9,57.160000,0.040000,2.286400
#d432ed,72.991111,0.040000,2.919644
#db7770,134.622222,0.040000,5.384889
#fabf5a,178.733333,0.040000,7.149333
#ff0055,480.084444,0.040000,19.203378
