color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#fba9d5,23.563831,147.022271,6.239320
#cc68e8,20.917424,95.883851,4.583923
#977499,15.053557,60.064929,3.990082
#ff0033,13.431469,77.120970,5.741812
#cc1f00,12.449447,82.821189,6.652600
#9ddee3,11.323510,70.577411,6.232821
#377e94,11.255782,51.451529,4.571120
#fc0356,10.520845,58.559284,5.566025
#eb548d,10.413177,67.073810,6.441244
#5203fc,8.577305,56.041831,6.533734
#4561ad,8.027561,48.937222,6.096151
#4b1280,7.889054,66.695026,8.454122
#cc4f25,7.549881,42.858996,5.676778
#52f7fa,7.517704,48.953047,6.511702
#ebc275,7.222005,54.957780,7.609768
#476678,6.499649,45.694312,7.030274
#6ef0b8,5.693879,43.026349,7.556597
#45c23e,5.586532,45.785054,8.195613
#fad44b,5.491071,37.999139,6.920169
#ae4410,4.014717,33.945584,8.455287
#852815,3.803879,28.377669,7.460192
#f06e8a,2.912338,17.165093,5.893922
#029691,2.441939,16.281020,6.667251
#8c69bf,2.357026,21.730156,9.219311
#e868cc,2.028721,16.262693,8.016229
#f403fc,1.231410,11.500135,9.338998
#388a45,0.928911,10.811588,11.638992
#6b731c,0.339816,3.266217,9.611722
