color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#15d445,32.278580,146.567584,4.540707
#c08c56,27.795616,134.044338,4.822499
#ce24d4,24.316957,152.765253,6.282252
#b1d415,22.225205,144.898731,6.519568
#4cd4bb,21.842395,120.145687,5.500573
#374a29,20.531235,149.285714,7.271151
#47964c,20.033224,137.457004,6.861452
#4f736e,19.670193,129.551687,6.586193
#ed755c,16.818516,126.713358,7.534158
#630024,15.726863,87.986484,5.594662
#e8d9ff,15.371619,97.303008,6.330043
#1a2496,15.236142,78.197189,5.132348
#3281a8,11.714632,73.642204,6.286344
#8a4334,8.972304,70.024339,7.804499
#1b9aaa,7.842894,59.274844,7.557777
#756e50,7.435471,48.889895,6.575225
#f5c4c4,6.339768,58.912027,9.292458
#ff7300,5.098868,49.359866,9.680554
#afeda4,2.834432,23.690425,8.358086
#bf0d75,2.731041,23.087946,8.453899
#c73e1d,0.966785,10.565400,10.928386
