color_hex,total_blob_count,total_perimeter_um,total_area_um2
#15d445,1127,3257.057433,146.567584
#1a2496,613,1737.715303,78.197189
#1b9aaa,634,1317.218763,59.274844
#3281a8,693,1636.493426,73.642204
#374a29,1501,3317.460301,149.285714
#47964c,1271,3054.600095,137.457004
#4cd4bb,1045,2669.904153,120.145687
#4f736e,1238,2878.926381,129.551687
#630024,691,1955.255210,87.986484
#756e50,475,1086.442121,48.889895
#8a4334,769,1556.096433,70.024339
#afeda4,333,526.453888,23.690425
#b1d415,1173,3219.971811,144.898731
#bf0d75,258,513.065468,23.087946
#c08c56,846,2978.763075,134.044338
#c73e1d,165,234.786674,10.565400
#ce24d4,1341,3394.783391,152.765253
#e8d9ff,1058,2162.289068,97.303008
#ed755c,1329,2815.852390,126.713358
#f5c4c4,823,1309.156153,58.912027
#ff7300,616,1096.885908,49.359866
