color_hex,total_blob_count,total_perimeter_um,total_area_um2
#030b9e,446,1133.348148,51.000667
#157d0b,295,634.836409,28.567638
#377e94,339,923.334081,41.550034
#4a7840,202,384.610766,17.307484
#74b59b,396,772.269503,34.752128
#75aaff,293,867.031953,39.016438
#8f82c4,603,1698.251030,76.421296
#96d4ba,1140,2628.097513,118.264388
#9e033c,548,1175.445540,52.895049
#a2aee8,905,2164.335209,97.395084
#a8329d,1882,5435.518155,244.598317
#a9ebc4,316,744.303086,33.493639
#aeeff2,692,1887.698672,84.946440
#b36994,346,852.380142,38.357106
#b54136,827,2088.096115,93.964325
#b5748e,503,1235.570241,55.600661
#b57a36,924,1910.383039,85.967237
#cacc5e,607,1118.852834,50.348378
#cc1f00,758,1879.445978,84.575069
#f06e8a,490,1336.546915,60.144611
