color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#a8329d,52.171680,244.598317,4.688335
#96d4ba,17.112469,118.264388,6.911007
#b54136,15.762096,93.964325,5.961411
#aeeff2,15.584512,84.946440,5.450696
#8f82c4,15.551327,76.421296,4.914133
#a2aee8,14.549562,97.395084,6.694022
#cc1f00,13.915744,84.575069,6.077653
#b57a36,11.653181,85.967237,7.377148
#f06e8a,11.634627,60.144611,5.169449
#b5748e,9.940298,55.600661,5.593460
#030b9e,7.778466,51.000667,6.556648
#9e033c,7.492696,52.895049,7.059548
#b36994,7.128953,38.357106,5.380468
#377e94,6.969363,41.550034,5.961812
#75aaff,6.411444,39.016438,6.085437
#cacc5e,5.603070,50.348378,8.985856
#a9ebc4,4.892232,33.493639,6.846290
#74b59b,4.478095,34.752128,7.760471
#157d0b,4.160037,28.567638,6.867160
#4a7840,1.850836,17.307484,9.351171
