color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#15d445,722.616967,0.040000,28.904679
#1a2496,273.448811,0.040000,10.937952
#1b9aaa,193.625232,0.040000,7.745009
#3281a8,182.788497,0.040000,7.311540
#374a29,323.998482,0.040000,12.959939
#47964c,431.198516,0.040000,17.247941
#4cd4bb,383.082139,0.040000,15.323286
#4f736e,347.032046,0.040000,13.881282
#630024,444.022263,0.040000,17.760891
#756e50,193.159217,0.040000,7.726369
#8a4334,134.134761,0.040000,5.365390
#afeda4,85.758813,0.040000,3.430353
#b1d415,416.410525,0.040000,16.656421
#bf0d75,68.825940,0.040000,2.753038
#c73e1d,15.091584,0.040000,0.603663
#ce24d4,545.018384,0.040000,21.800735
#e8d9ff,319.828639,0.040000,12.793146
#ed755c,248.212683,0.040000,9.928507
#f5c4c4,113.526902,0.040000,4.541076
#ff7300,132.594029,0.040000,5.303761
