slice_index,original_filename,processed_filename,z_coordinate
1,bandicam 2026-08-02 19-57-45-098.png,z_0001_223.000000.png,223.000000
2,bandicam 2026-08-02 19-57-51-087.png,z_0002_224.048951.png,224.048951
3,bandicam 2026-08-02 19-57-52-758.png,z_0003_225.097902.png,225.097902
4,bandicam 2026-08-02 19-57-54-344.png,z_0004_226.146853.png,226.146853
5,bandicam 2026-08-02 19-57-55-903.png,z_0005_227.195804.png,227.195804
6,bandicam 2026-08-02 19-57-57-400.png,z_0006_228.244755.png,228.244755
7,bandicam 2026-08-02 19-57-58-960.png,z_0007_229.293706.png,229.293706
8,bandicam 2026-08-02 19-58-00-603.png,z_0008_230.342657.png,230.342657
9,bandicam 2026-08-02 19-58-02-139.png,z_0009_231.391608.png,231.391608
10,bandicam 2026-08-02 19-58-03-779.png,z_0010_232.440559.png,232.440559
11,bandicam 2026-08-02 19-58-05-382.png,z_0011_233.489510.png,233.489510
12,bandicam 2026-08-02 19-58-07-092.png,z_0012_234.538462.png,234.538462
13,bandicam 2026-08-02 19-58-08-659.png,z_0013_235.587413.png,235.587413
14,bandicam 2026-08-02 19-58-10-191.png,z_0014_236.636364.png,236.636364
15,bandicam 2026-08-02 19-58-11-597.png,z_0015_237.685315.png,237.685315
16,bandicam 2026-08-02 19-58-13-001.png,z_0016_238.734266.png,238.734266
17,bandicam 2026-08-02 19-58-14-498.png,z_0017_239.783217.png,239.783217
18,bandicam 2026-08-02 19-58-15-869.png,z_0018_240.832168.png,240.832168
19,bandicam 2026-08-02 19-58-17-064.png,z_0019_241.881119.png,241.881119
20,bandicam 2026-08-02 19-58-18-050.png,z_0020_242.930070.png,242.930070
21,bandicam 2026-08-02 19-58-19-233.png,z_0021_243.979021.png,243.979021
22,bandicam 2026-08-02 19-58-20-314.png,z_0022_245.027972.png,245.027972
23,bandicam 2026-08-02 19-58-21-318.png,z_0023_246.076923.png,246.076923
24,bandicam 2026-08-02 19-58-22-225.png,z_0024_247.125874.png,247.125874
25,bandicam 2026-08-02 19-58-23-130.png,z_0025_248.174825.png,248.174825
26,bandicam 2026-08-02 19-58-23-977.png,z_0026_249.223776.png,249.223776
27,bandicam 2026-08-02 19-58-26-277.png,z_0027_250.272727.png,250.272727
28,bandicam 2026-08-02 19-58-27-414.png,z_0028_251.321678.png,251.321678
29,bandicam 2026-08-02 19-58-28-715.png,z_0029_252.370629.png,252.370629
30,bandicam 2026-08-02 19-58-29-800.png,z_0030_253.419580.png,253.419580
31,bandicam 2026-08-02 19-58-30-968.png,z_0031_254.468531.png,254.468531
32,bandicam 2026-08-02 19-58-32-937.png,z_0032_255.517483.png,255.517483
33,bandicam 2026-08-02 19-58-34-117.png,z_0033_256.566434.png,256.566434
34,bandicam 2026-08-02 19-58-40-899.png,z_0034_257.615385.png,257.615385
35,bandicam 2026-08-02 19-58-42-301.png,z_0035_258.664336.png,258.664336
36,bandicam 2026-08-02 19-58-43-545.png,z_0036_259.713287.png,259.713287
37,bandicam 2026-08-02 19-58-47-020.png,z_0037_260.762238.png,260.762238
38,bandicam 2026-08-02 19-58-49-229.png,z_0038_261.811189.png,261.811189
39,bandicam 2026-08-02 19-58-51-003.png,z_0039_262.860140.png,262.860140
40,bandicam 2026-08-02 19-58-52-655.png,z_0040_263.909091.png,263.909091
41,bandicam 2026-08-02 19-58-54-172.png,z_0041_264.958042.png,264.958042
42,bandicam 2026-08-02 19-58-55-594.png,z_0042_266.006993.png,266.006993
43,bandicam 2026-08-02 19-58-57-131.png,z_0043_267.055944.png,267.055944
44,bandicam 2026-08-02 19-58-58-663.png,z_0044_268.104895.png,268.104895
45,bandicam 2026-08-02 19-59-00-101.png,z_0045_269.153846.png,269.153846
46,bandicam 2026-08-02 19-59-01-443.png,z_0046_270.202797.png,270.202797
47,bandicam 2026-08-02 19-59-02-931.png,z_0047_271.251748.png,271.251748
48,bandicam 2026-08-02 19-59-04-249.png,z_0048_272.300699.png,272.300699
49,bandicam 2026-08-02 19-59-05-693.png,z_0049_273.349650.png,273.349650
50,bandicam 2026-08-02 19-59-07-065.png,z_0050_274.398601.png,274.398601
51,bandicam 2026-08-02 19-59-08-423.png,z_0051_275.447552.png,275.447552
52,bandicam 2026-08-02 19-59-09-711.png,z_0052_276.496503.png,276.496503
53,bandicam 2026-08-02 19-59-12-865.png,z_0053_277.545455.png,277.545455
54,bandicam 2026-08-02 19-59-14-160.png,z_0054_278.594406.png,278.594406
55,bandicam 2026-08-02 19-59-15-810.png,z_0055_279.643357.png,279.643357
56,bandicam 2026-08-02 19-59-17-308.png,z_0056_280.692308.png,280.692308
57,bandicam 2026-08-02 19-59-19-006.png,z_0057_281.741259.png,281.741259
58,bandicam 2026-08-02 19-59-20-557.png,z_0058_282.790210.png,282.790210
59,bandicam 2026-08-02 19-59-21-857.png,z_0059_283.839161.png,283.839161
60,bandicam 2026-08-02 19-59-23-644.png,z_0060_284.888112.png,284.888112
61,bandicam 2026-08-02 19-59-25-139.png,z_0061_285.937063.png,285.937063
62,bandicam 2026-08-02 19-59-26-670.png,z_0062_286.986014.png,286.986014
63,bandicam 2026-08-02 19-59-28-203.png,z_0063_288.034965.png,288.034965
64,bandicam 2026-08-02 19-59-29-698.png,z_0064_289.083916.png,289.083916
65,bandicam 2026-08-02 19-59-31-175.png,z_0065_290.132867.png,290.132867
66,bandicam 2026-08-02 19-59-32-888.png,z_0066_291.181818.png,291.181818
67,bandicam 2026-08-02 19-59-34-260.png,z_0067_292.230769.png,292.230769
68,bandicam 2026-08-02 19-59-35-460.png,z_0068_293.279720.png,293.279720
69,bandicam 2026-08-02 19-59-45-032.png,z_0069_294.328671.png,294.328671
70,bandicam 2026-08-02 19-59-46-419.png,z_0070_295.377622.png,295.377622
71,bandicam 2026-08-02 19-59-47-700.png,z_0071_296.426573.png,296.426573
72,bandicam 2026-08-02 19-59-48-966.png,z_0072_297.475524.png,297.475524
73,bandicam 2026-08-02 19-59-50-497.png,z_0073_298.524476.png,298.524476
74,bandicam 2026-08-02 19-59-52-081.png,z_0074_299.573427.png,299.573427
75,bandicam 2026-08-02 19-59-53-362.png,z_0075_300.622378.png,300.622378
76,bandicam 2026-08-02 19-59-54-577.png,z_0076_301.671329.png,301.671329
77,bandicam 2026-08-02 19-59-55-793.png,z_0077_302.720280.png,302.720280
78,bandicam 2026-08-02 19-59-57-098.png,z_0078_303.769231.png,303.769231
79,bandicam 2026-08-02 19-59-59-994.png,z_0079_304.818182.png,304.818182
80,bandicam 2026-08-02 20-00-01-065.png,z_0080_305.867133.png,305.867133
81,bandicam 2026-08-02 20-00-02-754.png,z_0081_306.916084.png,306.916084
82,bandicam 2026-08-02 20-00-03-897.png,z_0082_307.965035.png,307.965035
83,bandicam 2026-08-02 20-00-05-063.png,z_0083_309.013986.png,309.013986
84,bandicam 2026-08-02 20-00-06-314.png,z_0084_310.062937.png,310.062937
85,bandicam 2026-08-02 20-00-07-430.png,z_0085_311.111888.png,311.111888
86,bandicam 2026-08-02 20-00-08-530.png,z_0086_312.160839.png,312.160839
87,bandicam 2026-08-02 20-00-09-763.png,z_0087_313.209790.png,313.209790
88,bandicam 2026-08-02 20-00-10-941.png,z_0088_314.258741.png,314.258741
89,bandicam 2026-08-02 20-00-12-163.png,z_0089_315.307692.png,315.307692
90,bandicam 2026-08-02 20-00-13-470.png,z_0090_316.356643.png,316.356643
91,bandicam 2026-08-02 20-00-14-704.png,z_0091_317.405594.png,317.405594
92,bandicam 2026-08-02 20-00-15-960.png,z_0092_318.454545.png,318.454545
93,bandicam 2026-08-02 20-00-17-260.png,z_0093_319.503497.png,319.503497
94,bandicam 2026-08-02 20-00-18-536.png,z_0094_320.552448.png,320.552448
95,bandicam 2026-08-02 20-00-19-992.png,z_0095_321.601399.png,321.601399
