color_hex,total_blob_count,total_perimeter_um,total_area_um2
#15d445,1071,3147.637036,125.905481
#1a2496,465,1338.930693,53.557228
#1b9aaa,645,1379.302996,55.172120
#3281a8,545,1238.686796,49.547472
#374a29,1210,2463.534816,98.541393
#47964c,1092,2656.816839,106.272674
#4cd4bb,878,2127.751174,85.110047
#4f736e,1105,2399.902020,95.996081
#630024,677,2137.718155,85.508726
#756e50,482,1146.748360,45.869934
#8a4334,616,1115.609301,44.624372
#afeda4,284,589.892317,23.595693
#b1d415,971,2471.069974,98.842799
#bf0d75,269,544.547714,21.781909
#c73e1d,112,157.197450,6.287898
#ce24d4,1283,3321.190176,132.847607
#e8d9ff,1000,1992.345608,79.693824
#ed755c,1055,2031.057150,81.242286
#f5c4c4,674,1025.120520,41.004821
#ff7300,607,1111.890012,44.475600
