color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#15d445,28.904679,125.905481,4.355886
#ce24d4,21.800735,132.847607,6.093721
#630024,17.760891,85.508726,4.814439
#47964c,17.247941,106.272674,6.161470
#b1d415,16.656421,98.842799,5.934216
#4cd4bb,15.323286,85.110047,5.554295
#4f736e,13.881282,95.996081,6.915505
#374a29,12.959939,98.541393,7.603538
#e8d9ff,12.793146,79.693824,6.229416
#1a2496,10.937952,53.557228,4.896458
#ed755c,9.928507,81.242286,8.182729
#1b9aaa,7.745009,55.172120,7.123571
#756e50,7.726369,45.869934,5.936803
#3281a8,7.311540,49.547472,6.776612
#8a4334,5.365390,44.624372,8.317079
#ff7300,5.303761,44.475600,8.385672
#f5c4c4,4.541076,41.004821,9.029759
#afeda4,3.430353,23.595693,6.878503
#bf0d75,2.753038,21.781909,7.911954
#c73e1d,0.603663,6.287898,10.416239
