color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#8000ff,56.637576,328.687599,5.803349
#008080,23.900018,127.100759,5.318019
#ffd700,21.090615,118.481459,5.617734
#3cb44b,19.596107,73.850455,3.768629
#9acd32,17.910927,98.267645,5.486463
#ff0080,16.859982,87.478140,5.188507
#ff8080,14.426593,85.335313,5.915140
#b22222,12.564775,66.883246,5.323076
#0080ff,12.442865,49.968043,4.015799
#6a5acd,12.106740,102.964647,8.504738
#dc143c,10.403232,83.694139,8.045013
#bcf60c,10.330505,50.852942,4.922600
#e6194b,9.629568,79.133554,8.217768
#0082c8,9.174766,53.182098,5.796562
#00fa9a,7.356584,58.360410,7.933086
#8080ff,6.349936,45.235514,7.123775
#40e0d0,5.901524,42.782527,7.249403
#1e90ff,4.739210,23.316091,4.919827
#80ff80,4.438604,32.929765,7.418946
#0000ff,4.275886,34.892004,8.160181
#911eb4,4.190964,38.633271,9.218230
#ed4ea9,3.642755,30.427108,8.352774
#ff69b4,2.853627,21.980871,7.702784
#f032e6,2.386997,20.046236,8.398099
#800080,2.060863,14.784226,7.173803
#fabebe,1.820386,18.653904,10.247224
#a52a2a,1.337117,12.799064,9.572135
#4169e1,1.042681,9.188957,8.812817
#46f0f0,0.946226,8.997323,9.508641
