color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#0000ff,106.897153,0.040000,4.275886
#008080,597.500459,0.040000,23.900018
#0080ff,311.071625,0.040000,12.442865
#0082c8,229.369146,0.040000,9.174766
#00fa9a,183.914601,0.040000,7.356584
#1e90ff,118.480257,0.040000,4.739210
#3cb44b,489.902663,0.040000,19.596107
#40e0d0,147.538108,0.040000,5.901524
#4169e1,26.067034,0.040000,1.042681
#46f0f0,23.655647,0.040000,0.946226
#6a5acd,302.668503,0.040000,12.106740
#800080,51.521579,0.040000,2.060863
#8000ff,1415.939394,0.040000,56.637576
#8080ff,158.748393,0.040000,6.349936
#80ff80,110.965106,0.040000,4.438604
#911eb4,104.774105,0.040000,4.190964
#9acd32,447.773186,0.040000,17.910927
#a52a2a,33.427916,0.040000,1.337117
#b22222,314.119376,0.040000,12.564775
#bcf60c,258.262626,0.040000,10.330505
#dc143c,260.080808,0.040000,10.403232
#e6194b,240.739210,0.040000,9.629568
#ed4ea9,91.068871,0.040000,3.642755
#f032e6,59.674931,0.040000,2.386997
#fabebe,45.509642,0.040000,1.820386
#ff0080,421.499541,0.040000,16.859982
#ff69b4,71.340680,0.040000,2.853627
#ff8080,360.664830,0.040000,14.426593
#ffd700,527.265381,0.040000,21.090615
