color_hex,total_blob_count,total_perimeter_um,total_area_um2
#0000ff,425,872.300093,34.892004
#008080,1239,3177.518969,127.100759
#0080ff,355,1249.201084,49.968043
#0082c8,473,1329.552448,53.182098
#00fa9a,723,1459.010240,58.360410
#1e90ff,183,582.902273,23.316091
#3cb44b,458,1846.261370,73.850455
#40e0d0,486,1069.563183,42.782527
#4169e1,98,229.723917,9.188957
#46f0f0,121,224.933082,8.997323
#6a5acd,1316,2574.116186,102.964647
#800080,172,369.605645,14.784226
#8000ff,3122,8217.189972,328.687599
#8080ff,1040,1130.887850,45.235514
#80ff80,362,823.244127,32.929765
#911eb4,528,965.831772,38.633271
#9acd32,750,2456.691120,98.267645
#a52a2a,218,319.976597,12.799064
#b22222,587,1672.081150,66.883246
#bcf60c,441,1271.323557,50.852942
#dc143c,1044,2092.353484,83.694139
#e6194b,965,1978.338846,79.133554
#ed4ea9,423,760.677712,30.427108
#f032e6,198,501.155888,20.046236
#fabebe,280,466.347608,18.653904
#ff0080,853,2186.953490,87.478140
#ff69b4,399,549.521778,21.980871
#ff8080,765,2133.382831,85.335313
#ffd700,1076,2962.036469,118.481459
