color_hex,total_blob_count,total_perimeter_um,total_area_um2
#007e86,310,349901.486055,13996.059442
#01fd57,285,542537.771771,21701.510871
#1a64b4,826,1443438.950830,57737.558033
#1e37d7,1313,3681720.975112,147268.839004
#247a4f,1048,3048757.913836,121950.316553
#266645,807,943658.819607,37746.352784
#268ba3,768,1074529.385098,42981.175404
#350450,445,177919.106026,7116.764241
#3e5c7b,331,551065.581319,22042.623253
#42ddf5,528,915229.160415,36609.166417
#4a1781,801,2268361.394656,90734.455786
#6b3f08,1147,1272530.963217,50901.238529
#70d9ce,344,758.477025,30.339081
#8b0dab,471,353580.076544,14143.203062
#9ed3de,628,1124304.962650,44972.198506
#a3f50a,741,676189.348397,27047.573936
#b03ff3,1153,888610.325479,35544.413019
#b07c12,751,699103.542012,27964.141680
#b70d21,303,524340.968531,20973.638741
#c0c811,416,158213.300042,6328.532002
#ce7d9c,845,542651.039623,21706.041585
#d6c6c6,299,328171.870395,13126.874816
#d6d292,381,532320.683800,21292.827352
#dd5616,386,1033.715674,41.348627
#e2bc22,565,743711.358602,29748.454344
#e6049f,908,1599507.298944,63980.291958
#ef3c4f,602,1086572.555193,43462.902208
#fa4cb5,206,389.320189,15.572808
#ff270f,662,1199258.410606,47970.336424
#ff6ee9,1507,2209903.213253,88396.128530
#ff8817,833,1555088.901921,62203.556077
