color_hex,total_blob_count,total_perimeter_um,total_area_um2
#007e86,387,868.045314,39.062039
#01fd57,620,1886.874888,84.909370
#1a64b4,933,2155.900745,97.015534
#1e37d7,1897,4710.581051,211.976147
#247a4f,1027,2049.307849,92.218853
#266645,1265,3759.708177,169.186868
#268ba3,1057,2469.470421,111.126169
#350450,593,1348.590091,60.686554
#3e5c7b,332,693.193256,31.193697
#42ddf5,727,1321.404552,59.463205
#4a1781,1065,2773.486107,124.806875
#6b3f08,1402,4101.580570,184.571126
#70d9ce,281,650.739228,29.283265
#8b0dab,650,1456.456200,65.540529
#9ed3de,850,1908.398048,85.877912
#a0b78a,1672,3768.302587,169.573616
#a3f50a,759,2213.967284,99.628528
#b03ff3,1372,3074.653937,138.359427
#b07c12,892,2456.438297,110.539723
#b70d21,371,559.079070,25.158558
#c0c811,399,908.548459,40.884681
#ce7d9c,1106,2662.186510,119.798393
#d6c6c6,391,775.606608,34.902297
#d6d292,551,1310.987802,58.994451
#dd5616,422,1258.134046,56.616032
#e2bc22,662,1653.682945,74.415733
#e6049f,1042,2595.651860,116.804334
#ef3c4f,830,2011.144045,90.501482
#fa4cb5,384,825.424313,37.144094
#ff270f,1038,3081.289901,138.658046
#ff6ee9,1790,5052.501133,227.362551
#ff8817,979,3476.031205,156.421404
