color_hex,total_blob_count,total_perimeter_um,total_area_um2
#000080,626,1653.550358,74.409766
#008000,680,1586.999785,71.414990
#008080,14,1.340486,0.060322
#00ff80,964,2353.343253,105.900446
#00ffff,2000,4616.974713,207.763862
#20b2aa,607,1288.346403,57.975588
#32cd32,457,1799.313216,80.969095
#4363d8,417,1026.350465,46.185771
#5ac1d9,742,2375.530202,106.898859
#800000,1214,3657.386537,164.582394
#808000,247,509.805606,22.941252
#8080ff,479,871.973433,39.238804
#80ff80,6,0.674880,0.030370
#822072,747,1824.118274,82.085322
#8a2be2,921,1915.416490,86.193742
#8b99c5,334,719.333799,32.370021
#f58231,488,737.177809,33.173001
#ff00ff,3546,10876.186702,489.428402
#ff1493,225,645.671206,29.055204
#ff4500,454,986.414613,44.388658
#ff8000,618,1519.961087,68.398249
#ff8080,73,7.904735,0.355713
#ffff00,702,1956.957906,88.063106
