color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#007e86,95.554102,0.040000,3.822164
#01fd57,155.067776,0.040000,6.202711
#1a64b4,333.494649,0.040000,13.339786
#1e37d7,375.164090,0.040000,15.006564
#247a4f,330.631391,0.040000,13.225256
#266645,289.940547,0.040000,11.597622
#268ba3,231.416171,0.040000,9.256647
#350450,118.873960,0.040000,4.754958
#3e5c7b,100.029727,0.040000,4.001189
#42ddf5,120.398335,0.040000,4.815933
#4a1781,259.085612,0.040000,10.363424
#6b3f08,553.467301,0.040000,22.138692
#70d9ce,100.084423,0.040000,4.003377
#8b0dab,146.950059,0.040000,5.878002
#9ed3de,163.224732,0.040000,6.528989
#a0b78a,709.516052,0.040000,28.380642
#a3f50a,375.313912,0.040000,15.012556
#b03ff3,428.196195,0.040000,17.127848
#b07c12,407.468490,0.040000,16.298740
#b70d21,52.478002,0.040000,2.099120
#c0c811,171.980975,0.040000,6.879239
#ce7d9c,273.361474,0.040000,10.934459
#d6c6c6,88.826397,0.040000,3.553056
#d6d292,130.451843,0.040000,5.218074
#dd5616,194.500595,0.040000,7.780024
#e2bc22,208.508918,0.040000,8.340357
#e6049f,400.749108,0.040000,16.029964
#ef3c4f,228.965517,0.040000,9.158621
#fa4cb5,62.946492,0.040000,2.517860
#ff270f,198.639715,0.040000,7.945589
#ff6ee9,738.571938,0.040000,29.542878
#ff8817,731.360285,0.040000,29.254411
