color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#8695bd,32.870097,162.284919,4.937160
#eb7434,25.474041,144.593456,5.676110
#ffb0ba,24.471578,143.475819,5.862957
#2b8f76,20.762715,119.382770,5.749863
#9486bd,16.859731,91.733320,5.440972
#b54c73,13.178663,91.649201,6.954363
#806a16,12.757415,84.488406,6.622690
#15c1d4,10.871796,67.642736,6.221855
#2c6944,10.250175,75.459720,7.361798
#a3afd4,9.938429,84.933906,8.546009
#d4ce15,9.263918,60.712957,6.553702
#961a3f,9.143826,78.966249,8.636018
#f79d79,8.658140,57.256374,6.613011
#60bccc,8.128625,62.158773,7.646899
#881a96,8.125116,57.089019,7.026240
#e8a9bc,8.084475,58.439426,7.228599
#74ff8a,7.967765,50.305047,6.313571
#eb4934,7.666439,66.426847,8.664629
#780dd6,7.092498,56.547796,7.972903
#ff8308,6.041059,37.812655,6.259276
#c9a236,4.869761,34.243473,7.031859
#b086bd,4.387500,35.381191,8.064089
#cc2f2f,3.668606,28.963722,7.895021
#9b33b5,3.584582,26.925784,7.511555
#94d4b5,2.795168,20.815983,7.447131
#00701e,2.417198,14.019583,5.799932
#c4b897,1.931810,19.872124,10.286790
#0a7851,0.843091,7.243354,8.591426
#4e5fb6,0.562075,5.366733,9.548073
#86b5eb,0.213814,2.714569,12.695937
#93a0c7,0.000085,0.011068,130.211765
