color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#86b5eb,35.759591,156.582192,4.378747
#ff0055,24.123658,136.948388,5.676933
#9486bd,20.591880,103.040998,5.003963
#687550,20.073958,112.819851,5.620210
#fabf5a,13.917640,74.011459,5.317817
#9786eb,13.011473,102.780292,7.899205
#1f1945,11.719074,70.116174,5.983081
#db7770,10.369897,59.771326,5.763927
#b0d4ff,9.532684,57.828641,6.066355
#44ff00,9.021452,56.593245,6.273186
#2600ff,8.429874,69.779588,8.277655
#c003ff,8.283214,51.043215,6.162248
#2727e8,7.071630,37.836058,5.350401
#9b33b5,5.997378,33.951152,5.660999
#d432ed,4.571619,23.928148,5.234064
#8f7cfc,4.373328,31.494457,7.201485
#00ffaa,4.006457,28.145957,7.025149
#9c0027,2.556345,14.922834,5.837567
#388c00,2.404355,17.872144,7.433238
#d0ebf9,2.263469,22.201825,9.808760
#5b8f73,1.113628,12.001643,10.777066
