color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#00ffaa,89.032370,0.045000,4.006457
#1f1945,260.423864,0.045000,11.719074
#2600ff,187.330527,0.045000,8.429874
#2727e8,157.147336,0.045000,7.071630
#388c00,53.430106,0.045000,2.404355
#44ff00,200.476702,0.045000,9.021452
#5b8f73,24.747278,0.045000,1.113628
#687550,446.087966,0.045000,20.073958
#86b5eb,794.657570,0.045000,35.759591
#8f7cfc,97.185078,0.045000,4.373328
#9486bd,457.597329,0.045000,20.591880
#9786eb,289.143853,0.045000,13.011473
#9b33b5,133.275076,0.045000,5.997378
#9c0027,56.807664,0.045000,2.556345
#b0d4ff,211.837422,0.045000,9.532684
#c003ff,184.071418,0.045000,8.283214
#d0ebf9,50.299318,0.045000,2.263469
#d432ed,101.591523,0.045000,4.571619
#db7770,230.442154,0.045000,10.369897
#fabf5a,309.280883,0.045000,13.917640
#ff0055,536.081289,0.045000,24.123658
