color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#15d445,36.025485,186.838928,5.186299
#b1d415,28.454295,147.981833,5.200685
#4cd4bb,17.384242,90.756611,5.220625
#61d1be,17.317478,74.067963,4.277064
#86bdb0,16.123920,106.135588,6.582493
#afeda4,13.296978,71.329373,5.364330
#630024,9.404652,53.827331,5.723479
#d41515,8.267686,44.510636,5.383687
#ce24d4,6.200095,34.957057,5.638149
#bf0d75,5.747739,42.996995,7.480680
#a1e06e,3.665586,24.844369,6.777735
#f2ec07,0.944545,7.357268,7.789219
